127.0.0.1 - - [20/Feb/2023:20:20:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:20:45 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18329
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:20:45 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:20:45 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:20:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:20:47 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:20:55 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:21:12 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:21:14 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18335
0:0:0:0:0:0:0:1 - - [20/Feb/2023:21:34:10 +0900] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Feb/2023:21:34:10 +0900] "GET /apple-touch-icon.png HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [20/Feb/2023:21:34:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Feb/2023:21:34:10 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18329
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:07:06 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:07:07 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 18329
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:08:44 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 18171
