127.0.0.1 - - [25/Apr/2023:19:12:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:19 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 98484
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:19 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:19 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:24 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:24 +0900] "GET /AFO1/css_folder/signin.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:26 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:12:27 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 98607
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:30:24 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99441
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:31:32 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 90943
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:38:41 +0900] "GET /AFO1/Drama.jsp HTTP/1.1" 200 90943
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:38:41 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:38:53 +0900] "GET /AFO1/Webtoon.jsp HTTP/1.1" 200 27030
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:38:53 +0900] "GET /AFO1/fix/WebtoonCSS.css HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:39:10 +0900] "GET /AFO1/Movie.jsp HTTP/1.1" 200 99291
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:39:10 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:39:33 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99326
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:39:33 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:39:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:39:58 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:39:58 +0900] "GET /AFO1/css_folder/signin.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:40:00 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:40:01 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99449
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:40:04 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13150
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:40:16 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 11543
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:40:18 +0900] "POST /AFO1/update.jsp?bbsID=14 HTTP/1.1" 200 6147
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:43:26 +0900] "POST /AFO1/updateAction.jsp?bbsID=14 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:43:27 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13148
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:43:42 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 11465
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:43:44 +0900] "GET /AFO1/commentUpdate.jsp?bbsID=14&commentID=17 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:43:50 +0900] "POST /AFO1/commentUpdateAction.jsp?bbsID=14&commentID=17 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:43:50 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 11470
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:44:16 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:44:55 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:39 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:40 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:40 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:40 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8855
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:43 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8855
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:44 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8855
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:45 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8855
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:45 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8855
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:45:50 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8850
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:46:03 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99449
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:49:52 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:49:55 +0900] "POST /AFO1/userUpdateAction.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:49:56 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99449
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:49:59 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:12 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:13 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99326
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:15 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:16 +0900] "GET /AFO1/userJoin.jsp HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:50 +0900] "POST /AFO1/joinAction.jsp HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:51 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99326
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:52 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:50:59 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:51:00 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99449
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:51:03 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13149
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:51:04 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:51:17 +0900] "GET /AFO1/write.jsp HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:51:17 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:52:21 +0900] "GET /AFO1/write.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:52:21 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:53:12 +0900] "POST /AFO1/writeAction.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:53:16 +0900] "POST /AFO1/writeAction.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:53:32 +0900] "GET /AFO1/write.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:53:32 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:53:37 +0900] "POST /AFO1/writeAction.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:54:11 +0900] "POST /AFO1/writeAction.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Apr/2023:19:55:28 +0900] "POST /AFO1/writeAction.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:01:39 +0900] "POST /AFO1/writeAction.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:01:39 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13173
