127.0.0.1 - - [21/May/2023:15:19:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2023:15:19:42 +0900] "GET /AFO1/index.jsp HTTP/1.1" 500 2665
0:0:0:0:0:0:0:1 - - [21/May/2023:15:19:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:21:34 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99814
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:28 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99832
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:28 +0900] "GET /webapp/logo/AFO_logo.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:28 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99832
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:28 +0900] "GET /webapp/logo/AFO_logo.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:30 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99832
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:30 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:30 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:30 +0900] "GET /webapp/logo/AFO_logo.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:32 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99832
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:32 +0900] "GET /webapp/logo/AFO_logo.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:32 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99832
0:0:0:0:0:0:0:1 - - [21/May/2023:15:24:32 +0900] "GET /webapp/logo/AFO_logo.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:06 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99847
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:06 +0900] "GET /webapp/logo/AFO_logo.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:15 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:15 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:15 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:15 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:16 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:18 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:18 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:18 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:18 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:22 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:25:23 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
