127.0.0.1 - - [22/Jun/2023:13:38:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:28 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:28 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:28 +0900] "GET /AFO1/logo/movie_logo.png HTTP/1.1" 200 7495
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:28 +0900] "GET /AFO1/logo/webtoon_logo.png HTTP/1.1" 200 27658
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:28 +0900] "GET /AFO1/logo/drama_logo.png HTTP/1.1" 200 20783
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:28 +0900] "GET /AFO1/logo/ALLFORONE_logo.png HTTP/1.1" 200 7596
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:28 +0900] "GET /AFO1/logo/board_logo.png HTTP/1.1" 200 18854
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:46 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:46 +0900] "GET /AFO1/css_folder/signin.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:46 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:48 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:50 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:38:58 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:39:00 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 7889
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:39:02 +0900] "GET /AFO1/write_movie.jsp HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:39:02 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:39:37 +0900] "POST /AFO1/writeAction_movie.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:39:37 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:41:59 +0900] "GET /AFO1/write_movie.jsp HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:41:59 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:12 +0900] "POST /AFO1/writeAction_movie.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:12 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:18 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:20 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:20 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:24 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:24 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:26 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:27 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:29 +0900] "GET /AFO1/write_movie.jsp HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:29 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:47 +0900] "POST /AFO1/writeAction_movie.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:47 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 10036
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:51 +0900] "GET /AFO1/write_movie.jsp HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:42:51 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:03 +0900] "POST /AFO1/writeAction_movie.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:03 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 10761
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:05 +0900] "GET /AFO1/write_movie.jsp HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:05 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:16 +0900] "POST /AFO1/writeAction_movie.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:16 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 11468
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:18 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:20 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:21 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:24 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:26 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:28 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:30 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 11468
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:33 +0900] "GET /AFO1/view.jsp?bbsID=51 HTTP/1.1" 200 8376
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:45 +0900] "POST /AFO1/submitAction.jsp?bbsID=51 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:45 +0900] "GET /AFO1/view.jsp?bbsID=51 HTTP/1.1" 200 9439
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:43:52 +0900] "GET /AFO1/view.jsp?bbsID=50 HTTP/1.1" 200 8273
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:02 +0900] "POST /AFO1/submitAction.jsp?bbsID=50 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:02 +0900] "GET /AFO1/view.jsp?bbsID=50 HTTP/1.1" 200 9349
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:07 +0900] "GET /AFO1/view.jsp?bbsID=49 HTTP/1.1" 200 8375
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:12 +0900] "POST /AFO1/submitAction.jsp?bbsID=49 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:12 +0900] "GET /AFO1/view.jsp?bbsID=49 HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:16 +0900] "GET /AFO1/view.jsp?bbsID=51 HTTP/1.1" 200 9439
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:24 +0900] "POST /AFO1/submitAction.jsp?bbsID=51 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:24 +0900] "GET /AFO1/view.jsp?bbsID=51 HTTP/1.1" 200 10506
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:32 +0900] "GET /AFO1/view.jsp?bbsID=48 HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:45 +0900] "POST /AFO1/submitAction.jsp?bbsID=48 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:45 +0900] "GET /AFO1/view.jsp?bbsID=48 HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:44:57 +0900] "GET /AFO1/view.jsp?bbsID=47 HTTP/1.1" 200 8292
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:45:06 +0900] "POST /AFO1/submitAction.jsp?bbsID=47 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:45:06 +0900] "GET /AFO1/view.jsp?bbsID=47 HTTP/1.1" 200 9360
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:45:07 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:45:08 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
