,id,title,year,genre,story,age,director,actor,country,time,classification,video,thumb,photo1,photo2
0,1,스즈메의 문단속,2023,애니메이션,"“이 근처에 폐허 없니? 문을 찾고 있어” 규슈의 한적한 마을에 살고 있는 소녀 ‘스즈메’는 문을 찾아 여행 중인 청년 ‘소타’를 만난다. 그의 뒤를 쫓아 산속 폐허에서 발견한 낡은 문. ‘스즈메’가 무언가에 이끌리듯 문을 열자 마을에 재난의 위기가 닥쳐오고 가문 대대로 문 너머의 재난을 봉인하는 ‘소타’를 도와 간신히 문을 닫는다. “닫아야만 하잖아요, 여기를!” 재난을 막았다는 안도감도 잠시, 수수께끼의 고양이 ‘다이진’이 나타나 ‘소타’를 의자로 바꿔 버리고 일본 각지의 폐허에 재난을 부르는 문이 열리기 시작하자 ‘스즈메’는 의자가 된 ‘소타’와 함께 재난을 막기 위한 여정에 나선다. “꿈이 아니었어” 규슈, 시코쿠, 고베, 도쿄 재난을 막기 위해 일본 전역을 돌며 필사적으로 문을 닫아가던 중 어릴 적 고향에 닿은 ‘스즈메’는 잊고 있던 진실과 마주하게 되는데…",12세 관람가,신카이 마코토,"하라 나노카, 마츠무라 호쿠토, 후카츠 에리",일본,122분,박스오피스,https://m.tv.naver.com/v/33959734,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230206_264%2F1675649061557DaJHD_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20220803_277%2F1659488407582bPv5k_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20220803_49%2F1659488555876cjcOo_JPEG%2Fmovie_image.jpg
1,2,웅남이,2023,"코미디, 액션",인간을 초월하는 짐승 같은 능력으로 국제 범죄 조직에 맞서는 웅남이의 좌충우돌 코미디 <웅남이>,15세 관람가,박성광,"박성웅, 이이경, 염혜란",대한민국,97분,박스오피스,https://m.tv.naver.com/v/34266986,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230322_142%2F1679450718624pOFXc_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230303_109%2F1677807282285WVjbj_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230303_282%2F1677807795667nGYCO_JPEG%2Fmovie_image.jpg
2,3,더 퍼스트 슬램덩크,2023,애니메이션,"전국 제패를 꿈꾸는 북산고 농구부 5인방의 꿈과 열정, 멈추지 않는 도전을 그린 영화",12세 관람가,이노우에 다케히코,없음,일본,124분,박스오피스,https://m.tv.naver.com/v/32260158,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20221216_283%2F1671153488789d3g4j_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20221212_153%2F16708072991986GekI_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20221212_265%2F1670807324897KPwt2_JPEG%2Fmovie_image.jpg
3,4,소울메이트,2023,드라마,"1998년, 처음 만났다. 2004년, 첫사랑이 생겼다. 2010년, 각자 어른이 되어간다. 2014년, 흔적을 따라간다. 지금, 그리움을 그린다. 2023년 3월 15일, 당신의 소울메이트가 찾아옵니다.",12세 관람가,민용근,"김다미, 전소니, 변우석",대한민국,124분,박스오피스,https://m.tv.naver.com/v/33633362,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230315_171%2F1678842618052Q8wtc_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230126_248%2F1674695025791SnMsy_GIF%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230126_252%2F1674695052864BN4vN_JPEG%2Fmovie_image.jpg
4,5,파벨만스,2023,드라마,"난생 처음 극장에서 스크린을 마주한 순간부터 영화와 사랑에 빠진 소년 ‘새미’(가브리엘 라벨). 아빠 ‘버트’(폴 다노)의 8mm 카메라를 들고 일상의 모든 순간을 담기 위해 열중하던 새미는 우연히 필름에 포착된 가족의 비밀을 알게 되고 충격에 휩싸인다. 진실을 비추는 필름의 힘을 실감한 새미에게 크고 작은 삶의 변화가 일어나고 엄마 ‘미치’(미셸 윌리엄스)의 응원으로 영화를 향한 열정은 더욱 뜨거워져만 가는데… 영원히 간직하고픈 기억, 영화의 모든 순간과 사랑에 빠진다!",12세 관람가,스티븐 스필버그,"미셸 윌리엄스, 세스 로건",미국,151분,박스오피스,https://m.tv.naver.com/v/34301663,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230320_293%2F1679279877582ii4eD_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230307_255%2F16781500920831fIO1_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230307_149%2F1678150128645txz8v_JPEG%2Fmovie_image.jpg
5,6,에브리씽 에브리웨어 올 앳 원스+,2023,"액션, 코미디","미국에 이민 와 힘겹게 세탁소를 운영하던 에블린은 세무당국의 조사에 시달리던 어느 날 남편의 이혼 요구와 삐딱하게 구는 딸로 인해 대혼란에 빠진다. 그 순간 에블린은 멀티버스 안에서 수천, 수만의 자신이 세상을 살아가고 있다는 사실을 알게 되고, 그 모든 능력을 빌려와 위기의 세상과 가족을 구해야 하는 운명에 처한다.",15세 관람가,다니엘 콴,"양자경, 키 호이 콴",미국,150분,박스오피스,https://m.tv.naver.com/v/33088167,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230217_188%2F1676599847794aO7NN_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230215_188%2F1676427619100Iqoj8_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230215_296%2F1676427648195d0KOP_JPEG%2Fmovie_image.jpg
6,7,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023,애니메이션,"혈귀가 숨어있는 거리에 잠입한 탄지로 일행. 강력한 상현 6 혈귀 남매 규타로 & 다키와의 전투 끝에 탄지로 일행은 궁지에 몰린다. 절체절명 위기의 순간에도 흔들리지 않는 곧은 의지로 규타로에 맞서는 탄지로, 젠이츠, 이노스케 그리고 음주 우즈이 텐겐. 환락의 거리 속 혈귀를 쓰러트리기 위한 그들의 치열한 전투가 시작된다. 한편, 키부츠지 무잔은 무한성에 상현 혈귀들을 소집시키고 탄지로는 새로운 칼을 찾아 도공 마을로 향하는데...",15세 관람가,소토자키 하루오,"하나에 나츠키, 키토 아카리, 시모노 히로",일본,110분,박스오피스,없음,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230217_6%2F16766144681080d7Y2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230216_10%2F1676512227485ogoV6_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230216_24%2F1676512255574sCYvT_JPEG%2Fmovie_image.jpg
7,8,모나리자와 블러드 문,2023,"판타지, 미스터리, 스릴러","붉은 달이 뜨던 밤, 폐쇄병동에서 스스로 탈출한 '모나'(전종서)는 화려한 조명에 이끌려 도착한 낯선 도시에서 자신의 특별함을 알아챈 기묘한 사람들을 만난다. 모나의 능력으로 일확천금을 꿈꾸는 댄서 '보니'(케이트 허드슨) 모나한테 첫눈에 반한 로맨티스트 DJ '퍼즈'(에드 스크레인) 모나에게 락 스피릿을 가르친 11살의 소울메이트 '찰리'(에반 휘튼) 그리고 모나를 뒤쫓는 언럭키한 경찰 '해롤드'(크레이그 로빈슨)까지 완벽한 밤… 완전한 자유? 완성된 운명! 새로운 세상으로 향하는 '모나'의 모험이 펼쳐진다.",15세 관람가,애나 릴리 아미푸르,"전종서, 크레이그 로빈슨",미국,107분,박스오피스,https://m.tv.naver.com/v/33963964,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230322_139%2F1679448583763RpbsY_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230217_232%2F1676596735618MD8GC_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230217_221%2F16765967541896C735_JPEG%2Fmovie_image.jpg
8,9,샤잠! 신들의 분노,2023,"액션, 모험","신들의 힘을 갖게 된 빌리(애셔 앤젤)와 친구들은 각자의 방법으로 슈퍼히어로의 삶을 즐기게 된다. 그러던 그들 앞에 잃어버린 힘을 되찾고자 그리스 여신 헤스페라(헬렌 미렌)와 칼립소(루시 리우)가 나타나게 되고, 세상은 혼돈에 빠지게 되는데…",12세 관람가,데이비드 F. 샌드버그,"제커리 레비, 애셔 앤젤",미국,130분,박스오피스,https://m.tv.naver.com/v/33511185,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230210_146%2F1675994718889vtX8i_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230213_209%2F16762517708466lXnY_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230213_22%2F1676251795935JnrfP_JPEG%2Fmovie_image.jpg
9,10,아임 히어로 더 파이널,2023,"다큐멘터리, 공연실황","2022년 겨울 고척스카이돔을 뜨겁게 달궜던 ‘아임 히어로(IM HERO)’ 임영웅의 앵콜 콘서트, 그 대단원의 감동을 재현할 <아임 히어로 더 파이널>이 스크린X로 2023년 관객들을 찾아온다. “제가 마치 트루먼 쇼의 주인공이 된 것 같아요” 자신이 영화 ‘트루먼 쇼’의 주인공이 된 것 같다고 말하지만, 그러면서도 팬덤 ‘영웅시대’를 위해 매 순간 혼신의 힘을 다하는 ‘현실 임영웅’의 모습과 진심 어린 인터뷰, 영화에서만 만나볼 수 있는 전국 투어 비하인드 스토리까지.",전체 관람가,오윤동,임영웅,대한민국,102분,박스오피스,https://m.tv.naver.com/v/33583616,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230220_289%2F1676857485194VjrSj_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230221_19%2F1676941362935JERAO_JPEG%2Fmovie_image.jpg,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fmovie-phinf.pstatic.net%2F20230221_112%2F1676941379268KP5oB_JPEG%2Fmovie_image.jpg
