,id,title,director,actor,genre,story,platform,thumb,time,age,year,similar_content1,similar_content2,similar_content3,link
0,1,너의 이름은. (자막),신카이 마코토,"카미키 류노스케, 카미시라이시 모네, 타니 카논","애니메이션, 드라마, 로맨스 ",도시에 사는 소년 타키와 시골에 사는 소녀 미츠하는 서로의 몸이 뒤바뀌는 신기한 꿈을 꾼다. 반복되는 꿈과 흘러가는 시간 속에서 그 둘은 꿈이 아닌 실제로 서로의 몸이 바뀌고 있다는 것을 깨닫는다. 절대 만날 수 없는 두 사람이 서로에게 메모를 하며 점점 가까워진다. 하지만 언제부터인가 몸이 바뀌고 있지 않는 것을 알게된 타키는 미츠하를 만나러 갈 결심을 한다.,쿠팡플레이,https://img.coupangstreaming.com/titles/9fe5dde2-7005-4436-b4b7-10e18ebca62a/poster/a5da4bb2-6780-4bc4-8c13-8fb9986d6e44.jpeg?imwidth=350&imscalingMode=aspectFit,1시간 47분,12세 이용가,2017,https://img.coupangstreaming.com/titles/cd570b78-9f81-4678-97b1-c54f013fd01f/background/4efd2d36-aa52-4b56-b313-f7132544121b.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/68258da7-1e89-4ad4-80f7-a94aef952d06/background/69d54d1e-0b44-4007-9bcb-1f70cb789517.jpg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/0cbfc253-5ba8-4769-95fe-51e88d59224d/background/7a906647-f3a0-44ef-98af-fda1856bcb14.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/9fe5dde2-7005-4436-b4b7-10e18ebca62a?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
1,2,제이슨 본,폴 그린그래스,"맷 데이먼, 토미 리 존스, 알리시아 비칸데르, 뱅상 카셀, 줄리아 스타일스, 리즈 아메드","액션, 어드벤처, 드라마, 서스펜스, 스릴러 ",제이슨 본은 비밀작전 '블랙 브라이어' 폭로 후 모든 자취를 숨기고 사라진다. 모든 것이 끝났다고 생각한 그때. 제이슨 본은 되찾은 기억 외에 과거를 둘러싼 또 다른 음모가 있다는 것을 깨닫는다. 마침내 다시 한번 CIA 앞에 자신의 존재를 드러내는데.,쿠팡플레이,https://img.coupangstreaming.com/titles/ab4c4a1c-c532-4abb-9644-b753d4f846ee/background/5b7069b9-f04f-4d72-8d2d-325b0d01423c.jpeg?imwidth=350&imscalingMode=aspectFit,2시간 4분 ,15세 이용가,2016,https://img.coupangstreaming.com/titles/685cd2cc-cb55-4753-9cce-e6296be8aaca/background/e385bbf5-6803-4b2f-a3fe-6eebb698c5ee.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/4f0b5b07-ee0f-4353-b799-f67f92f0e57e/background/806d1c15-8877-4ac0-8b96-ca67fdf0e236.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/63b21e62-572d-49ca-b528-5743f1f224b2/background/a4093b6f-c73c-4de4-b633-afcfbc1e8b55.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/ab4c4a1c-c532-4abb-9644-b753d4f846ee?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
2,3,본 아이덴티티,더그 라이만,"맷 데이먼, 프란카 포텐테, 크리스 쿠퍼, 클라이브 오웬, 브라이언 콕스, 아데웰 아킨누오예 아바제, 가브리엘 만, 월튼 고긴스, 조쉬 해밀턴, 줄리아 스타일스","액션, 드라마, 서스펜스 ",두 발의 총상을 입은 채로 표류하고 있는 한 남자는 기억상실증에 걸려 자신이 누구인지조자 모른다. 그가 누구인지를 알 수 있는 단서는 등에 입은 총상과 살 속에 숨겨져 있던 스위스 은행의 계좌 번호 뿐. 자신의 과거를 찾아가면 갈수록 그를 기다리고 있는 것은 수수께끼 같은 음모와 가공할 위협인데.,쿠팡플레이,https://img.coupangstreaming.com/titles/4f0b5b07-ee0f-4353-b799-f67f92f0e57e/poster/a0414975-8177-420a-81d8-3b6c5ea2c838.jpeg?imwidth=350&imscalingMode=aspectFit,1시간 59분,12세 이용가,2002,https://img.coupangstreaming.com/titles/685cd2cc-cb55-4753-9cce-e6296be8aaca/background/e385bbf5-6803-4b2f-a3fe-6eebb698c5ee.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/ab4c4a1c-c532-4abb-9644-b753d4f846ee/background/92e13a9e-ef46-4d91-91a7-7ef788089a4e.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/5fda0721-b4cc-45e1-9205-23440d608a34/background/51fa90ca-15c1-47db-8894-98fcbbc706e4.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/4f0b5b07-ee0f-4353-b799-f67f92f0e57e?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
3,4,에베레스트,발타자르 코루마쿠르,"제이슨 클라크, 조슈 브롤린, 존 호키스, 마이클 켈리, 샘 워싱턴, 키이라 나이틀리, 에밀리 왓슨, 제이크 질렌할","어드벤처, 드라마, 스릴러, 실화 바탕 ","지상 위 산소의 1/3, 심장을 얼어붙게 만드는 영하 40도의 추위. 높이 올라갈수록 열악해지는 기후에 맞선 등반대들은 마침내 인간의 한계를 극복하고 정상에 오르는데 성공한다. 그러나 기쁨도 잠시, 예상치 못한 갑작스런 눈사태와 눈폭풍이 에베레스트를 뒤덮고 수많은 목숨을 위협하는 예측불허의 극한 재난이 펼쳐지는데.",쿠팡플레이,https://img.coupangstreaming.com/titles/07b33909-15d9-4aeb-b97e-857b3bffc4ad/poster/9a786b9f-9a0b-4c4b-8b90-c29bfe93f698.jpeg?imwidth=350&imscalingMode=aspectFit,2시간 2분 ,12세 이용가,2015,https://img.coupangstreaming.com/titles/3a0e568d-858d-490f-891a-4fd27236456e/background/68bef351-a23d-4213-9ccf-07751c07cc93.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/bbe9f29f-635e-4112-8de1-4c86eb63e3b4/background/7518fdc4-3842-464d-b209-4f270b8a3beb.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/8375a779-2cb5-44cf-9256-7803d03e7df2/background/c9f16f7b-7032-40ce-be95-03ad27f15e08.jpg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/07b33909-15d9-4aeb-b97e-857b3bffc4ad?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
4,5,헌츠맨: 윈터스 워,세드릭 니콜라스-트로얀,"크리스 헴스워스, 샤를리즈 테론, 에밀리 블런트, 닉 프로스트, 샘 클래플린, 롭 브라이든, 제시카 챠스테인","액션, 어드벤처, 판타지 ",세상을 지배하려는 아이스 퀸은 죽은 언니 이블 퀸의 거울을 차지하기 위해 최강의 군대 헌츠맨을 불러모은다. 가장 뛰어난 헌츠맨이었던 에릭은 아이스 퀸으로부터 세상을 구하기 위해 먼저 거울을 찾아 나선다.,쿠팡플레이,https://img.coupangstreaming.com/titles/0fdc189c-7f0a-4d81-bbee-afddb2a7b52f/poster/61c67f91-a3c5-4f62-9fa2-0ea3b42ee4ef.jpeg?imwidth=350&imscalingMode=aspectFit,1시간 54분,12세 이용가,2016,https://img.coupangstreaming.com/titles/dfd521a9-566d-4e0b-89ec-17fcd52a4a66/background/8f85cf1c-7855-45e9-8721-58a6e7b80697.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/3bed2efc-aed8-4c96-a500-c088d076bbf1/background/f4b1bce5-d99a-48c9-82d9-7728cfeb3ebb.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/2d6390fc-5c84-458a-82fe-95923b2ea4e6/background/0647ba71-e86f-4dad-b9cd-223caf8f4dd5.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/0fdc189c-7f0a-4d81-bbee-afddb2a7b52f?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
5,6,해리 포터와 마법사의 돌,크리스 콜럼버스,"다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨, 로비 콜트레인, 리처드 해리스, 앨런 릭먼, 이안 하트, 톰 펠튼, 매튜 루이스, 존 허트, 매기 스미스, 랄프 파인즈, 리차드 그리피스, 피오나 쇼우, 해리 멜링, 션 비거스태프","어드벤처, 판타지, 미스터리, 액션, 가족, 키즈 ",이모네 벽장에서 생활하며 구박받던 해리. 11살 생일에 호그와트 마법학교 입학 초대장을 받는다. 거인 해그리드와 함께 떠난 마법 세계에서 론과 헤르미온느를 만나 모험을 시작한다. 부모님을 살해한 볼드모트가 마법사의 돌을 차지하는 것을 막아야 한다.,쿠팡플레이,https://img.coupangstreaming.com/titles/9b26a526-443f-4376-a85f-52037f8e7ffc/poster/405c8ef6-073a-4ec2-91a0-1a373e48001b.jpeg?imwidth=350&imscalingMode=aspectFit,2시간 32분,전체 이용가,2001,https://img.coupangstreaming.com/titles/e3a770bc-c40f-4637-90d7-188412a3ae76/background/c6079594-c817-40d2-854e-850f17eb7b8b.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/6dd4da5f-f27e-4688-bd55-0bae979371b3/background/2199a977-9c08-4874-953d-326a490bea19.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/f96e7fd4-1dd3-4518-837d-ca0ed982fb67/background/f13b0eae-56ed-4341-b2b9-15980cf40dfd.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/9b26a526-443f-4376-a85f-52037f8e7ffc?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
6,7,본 슈프리머시,폴 그린그래스,"맷 데이먼, 프란카 포텐테,조안 알렌, 브라이언 콕스, 칼 어번, 가브리엘 만, 마튼 크소카스, 톰 갤롭, 존 배드포드 로이드","액션, 드라마, 스릴러 ","기억상실증에 걸린 전직 CIA 요원 제이슨 본은 자신을 제거하려는 CIA를 피해 연인 마리와 함께 떠돌이 생활을 하지만, 왜 자신이 쫓겨야 하는지 이유조차 모른다. 그러던 어느날, 제이슨은 자신이 모종의 음모에 연루되어 있음을 알게된다.",쿠팡플레이,https://img.coupangstreaming.com/titles/9c509d1f-707e-4a21-b462-c5aa918cb50b/poster/b96ff11b-f269-4432-855d-b596eba61d81.jpeg?imwidth=350&imscalingMode=aspectFit,1시간 49분,15세 이용가,2004,https://img.coupangstreaming.com/titles/132d4bc5-da29-4fda-b6dc-8f86908c2261/background/901be172-0bf7-4748-abed-63fc6b837ac3.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/35818df7-327a-4c57-a8bf-11b034b26a25/background/5676b144-32e6-44f3-9be2-a8a1dcffe04f.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/0482f0f6-91d3-495d-9644-756b562356ba/background/9e347c0e-207c-4079-ad3d-6dcdb25f36c9.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/9c509d1f-707e-4a21-b462-c5aa918cb50b?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
7,8,엑스 마키나,알렉스 가랜드,"도널 글리슨, 오스카 아이삭, 알리시아 비칸데르, 코리 존슨, 에비 레이","드라마, SF, 스릴러 ",유능한 프로그래머 칼렙은 인공지능 분야의 천재 개발자 네이든의 새 프로젝트에 참여한다. 그의 비밀 연구소로 초대받은 칼렙은 그곳에서 네이든이 창조한 매혹적인 A.I. 에이바를 만난다.,쿠팡플레이,https://img.coupangstreaming.com/titles/794bb300-77fa-4cb5-bdc3-7e14cc249d3f/poster/b11247d6-ec18-48e1-bfb5-4354f79a50ee.jpeg?imwidth=350&imscalingMode=aspectFit,1시간 49분,15세 이용가,2015,https://img.coupangstreaming.com/titles/2b10377f-04da-49fc-b534-c99b1e925896/background/a10d412b-1539-40cd-9394-ded2207385f2.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/3d0ea8d3-0b28-4aa9-ab7f-f3f84454c893/background/41831398-fe90-4811-a848-b57620b1fa7d.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/3d22729f-5f12-41a8-a81a-b33da77df490/background/d327bd43-58e2-4c6a-bff7-4207b504f817.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/794bb300-77fa-4cb5-bdc3-7e14cc249d3f?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
8,9,탑건,감독 정보 없음,"톰 크루즈, 켈리 맥길리스, 발 킬머, 만소니 에드워즈, 톰 스커릿","액션, 어드벤처 ",매버릭은 해군 최신 전투기를 모는 젊은 조종사다. 그는 최정예 파일럿을 양성하는 탑건 훈련학교에 입교한다. 그곳에서 생도들의 교육을 담당하는 항공물리학자 찰리와 사랑에 빠진다. 그러나 비행 훈련 중 파트너 구즈가 목숨을 잃는다. 친구의 죽음에 충격받은 매버릭은 파일럿의 꿈도 연인과의 사랑도 포기하려 한다.,쿠팡플레이,https://img.coupangstreaming.com/titles/224d5fae-889c-493a-8740-4ba8139dc0c4/poster/fc1d30a7-20e9-429b-943f-18f65f871282.jpeg?imwidth=350&imscalingMode=aspectFit,1시간 50분,15세 이용가,1986,https://img.coupangstreaming.com/titles/8554339b-7a5f-4bb5-9afe-5f9cd327613d/background/be3a1b6a-2760-442d-b024-2be6bdb0d3c0.jpg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/5e5b568c-0bc4-4041-84a3-ef557ced6e96/background/562e1964-41e1-440c-a2ef-f5d406d427a1.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/c029645c-7e8c-413e-8c8e-45abb4ac341c/background/6b218509-225e-4805-bca7-5f367f33a9c4.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/224d5fae-889c-493a-8740-4ba8139dc0c4?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
9,10,기생충,봉준호,"송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진",드라마 ,기택의 가족은 모두 백수로 살 길이 막막하다. 어느날 장남 기우는 IT기업 CEO 박사장의 딸 과외를 맡는다. 온 가족의 도움과 기대 속에 박사장 집으로 향하는 기우. 그러나 이렇게 시작된 두 가족의 만남은 걷잡을 수 없는 사건을 계속 만든다.,쿠팡플레이,https://img.coupangstreaming.com/titles/191ee44c-7f4a-499d-ab9b-3da5c3b1b539/poster/84958fd4-bd04-457d-8fdb-5ef6e141582e.jpeg?imwidth=350&imscalingMode=aspectFit,2시간 11분,15세 이용가,2019,https://img.coupangstreaming.com/titles/f3508855-3072-40ef-8c2e-d26f0e59df8f/background/3468f1c4-e8ec-435f-be24-2c06f428122e.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/e9e5f41e-c291-4ae6-b885-bf875757b291/background/cdaaf9dd-1adc-4a7f-8b5f-d61f378764a6.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/a259ca27-de67-4e46-8f9b-27773c7e16a0/background/dd47559e-12a0-43fd-9917-9abd30d0a2f3.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/191ee44c-7f4a-499d-ab9b-3da5c3b1b539?type=MOVIE&availability=SVOD&live=&channel=&rowId=a9fd81e3-c0d4-4ca6-990b-e8e476596c6a&trackId=&src=page_discover_feed%3ATOP-TITLES%3AMOVIES&sourceType=&supportLive=
