,id,title,director,actor,genre,story,platform,age,year,thumb,photo1,photo2
0,1,체인소 맨,감독 정보 없음,"Kikunosuke Toya, Tomori Kusunoki, Shogo Sakata","
애니메이션,?Action & Adventure,?Sci-Fi & Fantasy,?코미디
","'체인소의 악마'포치타와 함께 데블 헌터로 사는 소년 덴지. 부모가 남긴 빚을 갚기 위해, 가난한 생활을 하던 중, 배신을 당해 죽임을 당하고 만다. 희미해지는 의식 속에서, 덴지는 '포치타'와 계약을 맺고, 악마의 심장을 가진 자 '체인소 맨'으로 되살아난다~!",디즈니플러스,19 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/eblIShqBgVPmRt86f4e02ouDNhE.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/eblIShqBgVPmRt86f4e02ouDNhE.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/5DUMPBSnHOZsbBv81GFXZXvDpo6.jpg
1,2,포켓몬스터,감독 정보 없음,"Rica Matsumoto, Ikue Otani, Megumi Hayashibara","
애니메이션,?Action & Adventure,?Sci-Fi & Fantasy
","관동지방의 태초마을에 살고 있는 주인공 지우는 오박사로부터 피카츄와 몬스터볼, 포켓몬도감을 받아 포켓몬 마스터를 목표로 여행을 나선다. 회색체육관, 갈색체육관 등에서 격렬한 시합과 여러 곳에서 이루어지는 포켓몬과의 만남.",디즈니플러스,ALL 이용가,1997,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vaXQOBNdQVtxUMN96cR4qQRxmoQ.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vaXQOBNdQVtxUMN96cR4qQRxmoQ.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rm6zG1gESQT0ww3mp8oUUT5LJBL.jpg
2,3,주술회전,감독 정보 없음,"Junya Enoki, Yuma Uchida, Asami Seto","
애니메이션,?Action & Adventure,?Sci-Fi & Fantasy
","남다른 신체능력을 가진 고등학생 이타도리 유지. 할아버지가 돌아가신 날 밤에 주술고전의 1학년 후시구로 메구미와 만난다. 그는 이타도리가 가진 '주물'을 회수하기 위해 온 것이었지만, 공교롭게도 그 '주물'은 이타도리의 선배들에 의해 봉인이 풀린다. '주물'이 불러들인 저주의 괴물에게 습격당하는 선배들. 그곳에 이타도리와 후시구로가 달려가는데...",디즈니플러스,TV-MA 이용가,2020,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pnn223i9v5kfYku6TbqdSbPePJp.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pnn223i9v5kfYku6TbqdSbPePJp.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/nIHp6fz2MX33blJKYa9BSbhct7W.jpg
3,4,신 도라에몽,감독 정보 없음,"Megumi Oohara, Wasabi Mizuta, Yumi Kakazu","
Action & Adventure,?애니메이션,?코미디,?Sci-Fi & Fantasy
",도라에몽과 진구 친구의 이야기,디즈니플러스,TV-12세 이용가,2005,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vhythNI2xgNwXLmDvZzw6f48uPg.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vhythNI2xgNwXLmDvZzw6f48uPg.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/muu7SpWpMpObzccAgaRcuB4RHbk.jpg
4,5,스파이 패밀리,감독 정보 없음,"Takuya Eguchi, Atsumi Tanezaki, Saori Hayami","
애니메이션,?코미디,?Action & Adventure
",사람은 누구나 아무에게도 보여줄 수 없는 자신을 갖고 있다.,디즈니플러스,15 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/2SsEKPFypasKs4fPV8Nqrl9LD55.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/2SsEKPFypasKs4fPV8Nqrl9LD55.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/yreuPT1RYFvWkQ3gjnjRP8vAq3o.jpg
5,6,종말의 발키리,감독 정보 없음,"Miyuki Sawashiro, Tomoyo Kurosawa, Wataru Takagi","
애니메이션,?Action & Adventure,?Sci-Fi & Fantasy
","7백만 년 인류 역사에 종지부를 찍기로 한 신들. 그들이 인간에게 마지막 기회를 준다. 전 세계의 신과 사상 최강의 인간이 일대일로 맞붙는 열세 번의 승부, ‘라그나로크’가 지금 시작된다.",디즈니플러스,TV-MA 이용가,2021,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kTs2WNZOukpWdNhoRlH94pSJ3xf.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kTs2WNZOukpWdNhoRlH94pSJ3xf.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/iq5L971DFW1SwLJdvl7OpPI1QeZ.jpg
6,7,도쿄 리벤저스,감독 정보 없음,"Yuuki Shin, Azumi Waki, Ryota Osaka","
드라마,?애니메이션,?Action & Adventure,?범죄
",전 여자 친구의 죽음을 계기로 12년 전 중학교 시절로 타임슬립 하면서 벌어지는 이야기,디즈니플러스,15 이용가,2021,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/fMSqUzQ0wq3lFSy4WRhOusAjBrY.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/fMSqUzQ0wq3lFSy4WRhOusAjBrY.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/zYIFOocMfsKAEysBjhZ8akfXFdB.jpg
7,8,죠죠의 기묘한 모험,감독 정보 없음,"Daisuke Ono, Takehito Koyasu, Unsho Ishizuka","
애니메이션,?Action & Adventure,?Sci-Fi & Fantasy
","유서 깊은 죠스타 가문에 얽힌 기묘한 이야기를 아는가. 각기 다른 세상에서 애칭 '죠죠'를 공유하며 살아가는 주인공들. 시간적 공간적 배경은 달라도, 추구하는 가치는 다르지 않다. 악의 세력을 물리치고 정의가 이기는 세상을 만들라.",디즈니플러스,TV-MA 이용가,2012,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ogAWwbh3frWtiTyyXrZaVFtqCgp.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ogAWwbh3frWtiTyyXrZaVFtqCgp.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/mLKN1dsimKPiXCZ48KED0X8a02t.jpg
8,9,아리스 인 보더랜드,Yoshiki Watanabe,"Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami","
드라마,?미스터리,?Action & Adventure,?Sci-Fi & Fantasy
","2020년 12월 Netflix에서 방영을 시작한 스릴러. 아소 하로의 동명의 만화를 원작으로 한다. 삶의 목적이라고는 없이 무의미한 세월을 보내며 비디오게임에 빠져 사는 젊은 남성. 그가 두 친구와 함께 이상한 세계에 들어간다. 이곳은 또 다른 도쿄, 치명적인 게임의 배경. 그들이 낯설고 이상한 도쿄에서 게임을 시작한다. 도쿄와 비슷하지만 도쿄는 아닌 그곳에서, 그들은 생존이 걸린 위험한 게임을 시작한다.  패배한 자에게는 죽음이 있을 뿐, 선택의 여지는 없고 게임은 계속된다. 승자만이 살아남는 이 곳에서 살고 싶다면 싸워야 한다.",디즈니플러스,19 이용가,2020,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/20mOwAAPwZ1vLQkw0fvuQHiG7bO.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/20mOwAAPwZ1vLQkw0fvuQHiG7bO.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/bKxiLRPVWe2nZXCzt6JPr5HNWYm.jpg
9,10,코드 기어스: 반역의 를르슈,감독 정보 없음,"Jun Fukuyama, Takahiro Sakurai, Yukana","
Action & Adventure,?애니메이션,?드라마,?Sci-Fi & Fantasy
","거대국가 브리타니아 제국에 점령된 일본. ‘일본’이라는 이름을 말하는 것조차 금지된 그곳은 ‘AREA 11’이라는 이름으로 불리고 있었고, AREA 11의 주민들은 ‘일레븐’이라 불리며 제국이 임명한 통치관의 의해 통치를 받게 되었다. 막강한 군사력을 바탕으로 세계 각지에 AREA를 만들어가는 제국의 힘의 근원은 ‘나이트메어 플레임’이라 불리는 인간형 병기였다. 영원히 밝을 것처럼만 보였던 제국의 미래… 그러나 그 균열은 AREA 11의 한 소년으로부터 시작된다. 브리타니아인들을 위한 학교인 애슈포드 학원에 다니는 소년 를르슈는, 신주쿠 게토를 지나다 테러리스트와 브리타니아군 간의 싸움에 휘말려 든다. 우연히 브리타니아군에 소속되어 있던 옛친구 쿠루루기 스자쿠와 재회하게 되지만, 군대가 회수하려던 정체를 알 수 없는 소녀로 인해, 소녀와 를르슈를 지키려던 스자쿠가 총에 맞아 쓰러진다. 오열하는 를르슈에게 소녀는 ‘기어스’라는 능력을 부여해 준다. 자신의 목적을 달성하기 위해서라면 어떤 방법도 가리지 않는 를르슈. ‘기어스’의 힘을 손에 넣게 된 를르슈는 동생 나나리와 함께 자신의 이상을 위해 그 힘을 행사하려고 한다. 한편 정의를 지키며 자신의 길을 걸어가려 하는 쿠루루기 스자쿠는 브리타니아군의 병기 랜슬롯의 파일럿으로서 를르슈와 대립할 수밖에 없다.",디즈니플러스,19 이용가,2006,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/8p3HXHOQXjMpU9gAkZVAqozhDzQ.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/8p3HXHOQXjMpU9gAkZVAqozhDzQ.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/5hS2OIuZSKGkR8R5l3bY5zh04Ce.jpg
