,id,title,director,actor,genre,story,platform,time,age,year,thumb,photo1,photo2,video
0,1,블랙 팬서: 와칸다 포에버,Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira","
액션,?모험,?SF
","국왕이자 블랙 팬서인 티찰라의 죽음 이후 수많은 강대국으로부터 위협을 받게 된 와칸다. 라몬다, 슈리 그리고 나키아, 오코예, 음바쿠는 각자 사명감을 갖고 와칸다를 지키기 위해 외로운 싸움을 이어간다. 한편, 비브라늄의 패권을 둘러싼 미스터리한 음모와 함께 깊은 해저에서 모습을 드러낸 최강의 적 네이머와 탈로칸의 전사들은 와칸다를 향해 무차별 공격을 퍼붓기 시작하는데…",디즈니플러스,"
2시간 42분
    ",12 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/3PCRWLeqp5y20k6XVzcamZR3BWF.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/3PCRWLeqp5y20k6XVzcamZR3BWF.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,https://www.themoviedb.org//video/play?key=eeIMITpJW4s
1,2,보스턴 교살자,Matt Ruskin,"Keira Knightley, Carrie Coon, Chris Cooper","
스릴러,?드라마,?범죄
",악명 높은 보스턴 교살 사건들을 파헤친 용기 있는 기자들의 이야기를 다룬 범죄 스릴러. 살인 사건이 계속해서 일어나자 레코드 아메리칸지의 로레타 매클로플린과 동료이자 친구인 진 콜은 목숨을 걸고 진상을 밝히기 위해 용감하게 나선다.,디즈니플러스,"
1시간 52분
    ",15 이용가,2023,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/9x8o1HbG50uC2kejMEzvBEclnkt.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/9x8o1HbG50uC2kejMEzvBEclnkt.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/254iY5CzFzjnjkP0lUkLpOLvXar.jpg,https://www.themoviedb.org//video/play?key=6JeNKlGVpxA
2,3,아바타,James Cameron,"Sam Worthington, Zoe Salda?a, Sigourney Weaver","
액션,?모험,?판타지,?SF
","가까운 미래, 지구는 에너지 고갈 문제를 해결하기 위해 머나먼 행성 판도라에서 대체 자원을 채굴하기 시작한다. 하지만 판도라의 독성을 지닌 대기로 인해 자원 획득에 어려움을 겪게 된 인류는 판도라의 토착민 나비의 외형에 인간의 의식을 주입, 원격 조종이 가능한 새로운 생명체를 탄생시키는 프로그램을 개발한다. 한편 하반신이 마비된 전직 해병대원 제이크 설리는 아바타 프로그램에 참가할 것을 제안받는다. 그 곳에서 자신의 아바타를 통해 자유롭게 걸을 수 있게 된 제이크는 자원 채굴을 막으려는 나비의 무리에 침투하라는 임무를 부여받는데...",디즈니플러스,"
2시간 42분
    ",12 이용가,2009,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/zygmx5abXeDpr3fWYX4jlXFZ1wh.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/zygmx5abXeDpr3fWYX4jlXFZ1wh.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,https://www.themoviedb.org//video/play?key=IZpaMT1H85o
3,4,토르: 러브 앤 썬더,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale","
판타지,?액션,?코미디
","이너피스를 위해 자아 찾기 여정을 떠난 천둥의 신 토르. 그러나 우주의 모든 신들을 몰살하려는 신 도살자 고르의 등장으로 토르의 안식년 계획은 산산조각 나 버린다. 토르는새로운 위협에 맞서기 위해 킹 발키리, 코르그, 그리고 전 여자친구 제인과 재회하게 되고, 그녀가 묠니르를 휘두르는 마이티 토르가 되어 나타나 모두를 놀라게 한다. 이제 팀 토르는 고르의 복수에 얽힌 미스터리를 밝히고 더 큰 전쟁을 막기 위한 전 우주적 스케일의 모험을 시작하는데...",디즈니플러스,"
1시간 59분
    ",12 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/un8ZDtx2SMwNwXRYy65aItnNjab.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/un8ZDtx2SMwNwXRYy65aItnNjab.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/jsoz1HlxczSuTx0mDl2h0lxy36l.jpg,https://www.themoviedb.org//video/play?key=h3rKe6DdC18
4,5,The Simpsons Meet the Bocellis in Feliz Navidad,David Silverman,"Nancy Cartwright, Yeardley Smith, Dan Castellaneta","
애니메이션,?가족,?코미디
","This Christmas, Homer surprises Marge with the ultimate gift: an unforgettable performance from Italian opera superstar Andrea Bocelli and his children Matteo and Virginia.",디즈니플러스,"
4분
    ",12세 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/9rJFKvYvSyQ3HoTl1gcU55FOzYi.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/9rJFKvYvSyQ3HoTl1gcU55FOzYi.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/9j0V8Fw5u4cv9cESUXUmTGmpXU5.jpg,없음
5,6,"나니아 연대기: 사자, 마녀 그리고 옷장",Andrew Adamson,"Georgie Henley, Skandar Keynes, William Moseley","
모험,?가족,?판타지
","제2차 세계대전 중의 영국. 공습을 피해 디고리 교수의 시골 별장으로 간 페번시가의 네 남매인 피터, 수잔, 에드먼드, 루시는 마법의 옷장을 통해 신비로운 나라 나니아로 들어선다. 말하는 동물들과 켄타우로스, 거인들이 평화롭게 어울려 사는 땅이었던 나니아는 사악한 하얀 마녀 제이디스에 의해 긴 겨울에 감금되어 있다. 게다가 이 겨울에는 크리스마스도 없다. 호기심 많은 루시, 퉁명스러운 에드먼드, 신중한 수잔, 분별 있는 맏이 피터는 고귀한 사자 아슬란의 인도로 제이디스의 싸늘한 주문을 깨는 싸움에 가담한다.",디즈니플러스,"
2시간 23분
    ",ALL 이용가,2005,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vSY6MgDWD5Ch5I87X8BaxZyydCI.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vSY6MgDWD5Ch5I87X8BaxZyydCI.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/9iRRfMZbnpgHDdKi2lczGGYZXDo.jpg,없음
6,7,엔칸토 할리우드 볼,Chris Howe,"Lin-Manuel Miranda, Stephanie Beatriz, Adassa","
음악
","월트 디즈니 애니메이션 스튜디오의 '엔칸토 할리우드 볼'의 성우가 카사 마드리갈로 돌아온다.  스테파니 베아트리스, 어대사, 캐롤라이나 가이탄, 제시카 대로, 다이앤 게레로, 마우로 카스티요, 앤지 세페다, 올가 메레다이즈가 콜롬비아의 카를로스 비베스 등의 특별 게스트와 출연하는 이 라이브를 영화화한 콘서트는 '엔칸토 할리우드 볼'의 세계, 캐릭터, 노래를 기념한다.",디즈니플러스,"
45분
    ",12세 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/sa3Ku5yNVjp8NloWxJoI9dQjvOi.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/sa3Ku5yNVjp8NloWxJoI9dQjvOi.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/tsjXBo4LmzV0Bb9hdrz25tzX5GD.jpg,없음
7,8,어벤져스: 인피니티 워,Anthony Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","
모험,?액션,?SF
","타노스는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지가 소유한 타임 스톤, 비전의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨과 스파이더맨은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카, 완다, 블랙 위도우, 블랙 팬서 등이 비전을 지키기 위해 뭉친다.",디즈니플러스,"
2시간 29분
    ",12 이용가,2018,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,https://www.themoviedb.org//video/play?key=xUDhdCsLkjU
8,9,닥터 스트레인지: 대혼돈의 멀티버스,Stan Lee,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor","
판타지,?액션,?모험
","아메리카는 어느 날 멀티버스 사이를 오갈 수 있는 힘에 눈을 뜨지만 완전히 제어하지 못한다. 정체불명의 악마가 아메리카를 죽이려 하자 다른 우주의 스트레인지가 이를 막아보지만 결국 살해당한다. 우여곡절 끝에 우리가 알고 있는 우주로 넘어온 아메리카는 어벤져스 멤버인 닥터 스트레인지의 도움과 보호를 받는다. 닥터 스트레인지는 웨스트뷰 사건 이후 잠적한 완다에게 도움을 청하지만 곧바로 그녀가 사건의 진정한 흑막, 스칼렛 위치임이 드러난다. 스칼렛 위치는 자신의 원하는 멀티버스로 가기 위해 아메리카의 힘을 흡수하려 한다. 닥터 스트레인지와 아메리카는 압도적인 힘을 지닌 스칼렛 위치를 피해 또 한번 다른 멀티버스로 도망치지만 그의 끈질긴 추격을 받는다.",디즈니플러스,"
2시간 6분
    ",12 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vL5ktZauR0fZMDOHKjakb1idhuU.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vL5ktZauR0fZMDOHKjakb1idhuU.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/jhXwGdyj2f5ZxCYZBKfBNcGBbWx.jpg,https://www.themoviedb.org//video/play?key=dKy5B-PSYZo
9,10,프레이,Dan Trachtenberg,"Amber Midthunder, Dakota Beavers, Michelle Thrush","
스릴러,?액션,?SF
","300년 전 아메리카, 용맹한 전사를 꿈꾸는 원주민 소녀 나루는 갑작스러운 곰의 습격으로 절체절명의 위기에 놓인 순간, 정체를 알 수 없는 외계 포식자 프레데터를 목격하게 된다.  자신보다 강한 상대를 향한 무자비한 사냥을 시작한 프레데터. 최첨단 기술과 무기로 진화된 외계 포식자 프레데터의 위협이 점점 다가오고 나루는 부족을 지키기 위해 자신만의 기지와 무기로 생존을 건 사투를 시작하는데…",디즈니플러스,"
1시간 40분
    ",18 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/eicYAopFKOL3orcNTJZ4TGtZQQ1.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/eicYAopFKOL3orcNTJZ4TGtZQQ1.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/7ZO9yoEU2fAHKhmJWfAc2QIPWJg.jpg,https://www.themoviedb.org//video/play?key=TAcCbE98J-c
