,id,title,author,day,genre,story,platform,thumb
0,1,이번 생은 가주가 되겠습니다,"앤트스튜디오,몬,김로아",월,로판,"“…한번 해 보자. 내가 가주가 되는 거야.”

제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.
게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한
말그대로 제국의 역사 자체!

금수저 오브 금수저 인생 당첨!
앞으로는 탄탄대로일 거라 생각했는데….
아버지는 돌아가시고, 친척들은 문전박대,
거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!

분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,
마차에 치여버리기까지!

“이건 해도 해도 너무하잖아….”

하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!
사랑하는 아버지를 다시 보는 것도 믿기지 않는데,
내가 아버지와 가문을 살릴 수도 있다고?

거기다 회귀 전 가문의 원수,
2황자가 대형견마냥 졸졸 쫓아다니기까지?!

좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!

환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!

**************************

[표지 및 타이틀 로고 디자인] 조정원

**************************

웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다.",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bXtxpT/hzN2hYnygX/dIpdFOEOrYAyfehnSQ8EG0&filename=th3
1,2,취준끝에 재벌2세,"콩새,땅콩새",월,웹툰,"취직을 위해 악착같이 노력했지만,
현실은 빽도 운도 없는 가난한 취준생.
영양실조로 쓰러지는 순간까지 돈 걱정.

깨어나니 대한민국 최고 재벌가의 딸이자,
평판이 땅에 떨어진 프로 갑질러 싸이코 악녀
최시아의 몸에 빙의해버렸다!

그저 달콤한 꿈인 줄 알았는데,
내가 면접 봤던 회사의 경영자 자리를 쟁취하라니!
곤란할 때 나타나 퀸 메이커를 자처하는 남자.
‘강지후.’

“그러니까 하시죠, 저랑.”

계약 연애로 나를 탑전자 경영자로 만들어주겠다는데,
자꾸 ‘선’을 넘어 마음을 흔든다.
계약 연애도 정신없는데, 최시아의 ‘펫’까지.

“남의 몸으로 엮이는 건 사절인데,
남의 몸으로 어디까지 하는 거야?!”

속고 속이는 아슬아슬 체인지 로맨스의 끝은!?

----------------------------------------------------
<취준끝에 재벌2세>는 매주 월요일(일요일 22:00)에 연재됩니다.",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=c8GvAx/hzVqHif0wF/WKyMznkZx19pcJADsGMo5k&filename=th3
2,3,빙의검신,"마감과도덕,유한검,서준백",월,액션무협,"7급 공무원이었던 내가 대제갈세가의 망나니 대공자가 됐다고?!

죽기 아니면 까무러치기로
스펙을 쌓아 얻은 7급 공무원 생활,
여유를 즐길 주말만 기다리던 내게……

-백리진이오

내게 찾아온 《영웅로》의 주인공, 백리진
아니, 정신을 차려 보니 내가 소설 속에 있었다
어릴 적 가문의 과분한 투자와 사랑을 받았으나
이제는 질풍노도의 시기를 겪는 망나니,
눈 뜨고 주인공에게 기연을 빼앗기는 엑스트라……
그리고 십 년 후, 혈마교에 멸문당할 제갈세가의 대공자로!

지옥 같은 입시 경쟁을 뚫고 나온 프로 노력러,
이제 무림을 준동시킨다!",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=eThy5/hzR1TNudwm/eHkQztH92g5CgRJfwCGRSK&filename=th3
3,4,처형당할 운명을 바꿔 보겠습니다,"이리태,이서,우아연",월,로판,"황태자비로서의 첫날밤.

내 손에 들린 단검은 남편의 피로 붉게 물들어 있었다.
평생 나를 냉대해 오던 남자의 뜨거운 피가.

황태자를 시해한 죄로 처형당하던 그 순간,
다시 태어난다면 절대 그의 아내가 되지 않겠노라 다짐했다.

그렇게 주어진 또 한 번의 기회.
나는 모든 걸 되돌리려 한다.
이 구역의 미친 영애가 되어서라도!

그런데 뭐지? 왜 자꾸 다들 나를 찬양하는 거야?

“내 악혼녀가 되길 거부한다면 내가 직접 그대를 황태자비로 삼겠다.”

게다가 날 냉대하던 황태자는 왜 이러는거야!?",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=boiJl8/hyZIczgTpi/ECewJA4V4jBxs2QiLYDZs1&filename=th3
4,5,남주의 여자사람친구가 되었다,"꼬리,햇살수인",월,로판,"미친 외모의 남주, 루드릭 바우저.
…를 짝사랑하는 여자사람친구로 환생해 버렸다?!

주인공들의 사랑놀음에 이용당할 운명이라니…
나, 달리아 에이버린은 금수저 라이프를 만끽하며
세계 각국의 미남들과 뜨거운 연애를 할 거야!

그런데………

“안녕하세요, 바우저 영애.”
“……으아앙!”

여자애로 착각해 울려 버렸다?

그 후 친해진 것도 잠시,
전쟁으로 헤어졌다 다시 만난 남주는……

“못 본 새 눈이 많이 낮아졌나 봐, 에이버린 공녀."" 

왜 내 연애 사업을 방해하고 난리야!
우리 그냥 친구 사이 아니었니?

안 돼! 이번 생에는
남주의 가'족'같은 친구가 되어주겠어!",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=dDanph/hzMT5lt8xO/E2HAZZmLbGpcKikUqVSKnk&filename=th3
5,6,묵향 다크레이디,"이재헌,구깃,전동조",월,소년,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리.

한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 
1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화!! 

한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화! 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다.",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bRsIke/hyoXBaoZrt/TWbrWl7ATyqkfxIiDdOKn0&filename=th3
6,7,모시던 아가씨가 도련님이 되어버렸다,"시그마,태비의별",월,로판,"조연에 빙의한 지 9년 차, 모시던 아가씨가 도련님이 되어 찾아왔다.

*

원작 여주인공의 시녀 생활을 청산한 지도 4년.
웬 잘생긴 남자가 찾아왔다.
그것도, 내가 모시던 아가씨를 닮은 남자가.

“약속을 지키러 왔어, 블레아. 나와 평생을 함께하겠다고 했잖아.”
“설마… 아가씨?”

순간, 남자의 붉은 눈에 이채가 돌았다.
코앞까지 다가온 그가 고개를 기울여 내 머리카락에 입 맞췄다.
그리고 속삭였다.
아주 다정하고 아름다운 목소리로.

“이젠 도련님이라 불러야지.”

……네?

*

원작대로라면 여주인공, 클로이는 후회에 찌든 가족들을 거느리고
남주인공 후보들과 해피라이프를 즐길 수 있었다.

하지만 연재 중지되었던 원작 소설에는 큰 비밀이 있었으니……
여주인공이 알고 보니 남자라면 어떻게 되는 거지?

“크… 클로드, 가족들에게 가보지 않아도 괜찮아요?”
“말했잖아. 필요 없어.”
“그럼 저번에 그 남자분들은…….”
“지금 내 앞에서 다른 남자 이야기를 하겠다고?”

…그 남자들이 원래 당신이랑 이어져야 했을 남주인공들인데요.

“나는 너만 있으면 돼. 다른 건 알 바 아냐.”

가족 후회물의 주인공께서 모든 걸 다 뻥 차 버리고 내 곁에 있겠다고 선언했다.

“그러니, 블레아. 너도 나만 보는 거야.”

전에 없이 다정한 눈 속에 집착이 가득했다.


*********************

로판 화제작 태비의별 작가님의 <모시던 아가씨가 도련님이 되어버렸다> 본격 웹툰화!
빙의된 하녀 블레아와 츤데레 클로이의 티키타카 찐케미를 만나보세요!!

*********************",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=euvP1/hzwBrxfmXc/tqnDffni9OPR2c9Ab5IDYk&filename=th3
7,8,세이렌: 악당과 계약가족이 되었다,"생얌,포야,설이수",월,로판,"아리아는 계약 결혼을 제안했다.
그것도, 악마에게 영혼을 팔았다는 발렌타인의 대공자에게.
자신을 지키고, 그를 지키기 위해서.

[나와 결혼해.]

아리아는 단풍잎 같은 손으로, 쪽지와 함께 혼인 서약서를 내밀었다.

[계약 결혼이니까 10년 뒤에 이혼…….]

그러자 어린 대공자는 쓰고 있던 쪽지를 빼앗아 쫙쫙 찢으며 말했다.

“그래서, 도장은 어디에 찍으면 되지?”

“크면 이혼해주겠다고 했잖아.”

어느새 훌쩍 자란 악마 대공이, 그녀의 머리카락 위에 경건하게 입을 맞추며 말했다.

“어른이 되었으니 어른의 계약을 해야지.”",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=j4Du5/hzMT8Itm2t/EGmlkoyuEgF4OqPNJmQKKk&filename=th3
8,9,후작가의 역대급 막내아들,"케이,넉울히",월,소년,"명망있는 후작가의 막내아들 잭 발란티에.
남들 보다 못한 가족들 사이에서 유일하게 의지했던 건 누나 뿐!
가문 따위야 멸문을 하든 말든 미련이 없었지만,
누나의 죽음이 헛된 희생인 걸 알게 된 후,
오로지 복수만을 위한 검귀가 되었다.
마침내 서대륙을 지배하는
돌칸 제국을 무너뜨리고, 시산혈해 위의 괴물이 되었을 땐,
다가온 죽음을 겸허히 받아 들였다.

그런데!

14살, 과거로 돌아왔다!
그래, 이건 후회뿐이던 과거를 바로 잡을 기회다.
이번 생엔 두 번 다시 내 사람들을 잃지 않겠다!

후작가의 역대급 막내아들의 통쾌한 회귀 스토리가 시작된다!!

***************************************

넉울히작가님의 인기 웹소설 <후작가의 역대급 막내아들>을 웹툰으로 만나보세요!

***************************************",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=dMdb7V/hzVqGi8HBB/K7m2RtWQmUS9dlGmkrL840&filename=th3
9,10,불패검선,"FIST CAT,김찬영,적하",월,액션무협,"시골 객점의 아들 송우문.
어릴 적부터 몸이 약했던 그는
어느 날 노도사가 그려 주고 간
산수화를 보고 바보가 된다.

그렇게 동네에선 바보라 놀림받고
부모에겐 한심한 아들로 자라지만

스무 살이 되던 날!
각성과 함께 산수화 속 절대무공을 꽃피운다!",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=cOE0QJ/hzR1T7F8vf/gtVTv377ZmYqLiCaL51sWk&filename=th3
