,id,title,director,actor,genre,story,platform,age,year,thumb,photo1,photo2
0,1,웬즈데이,Miles Millar,"Jenna Ortega, Emma Myers, Joy Sunday","
Sci-Fi & Fantasy,?미스터리,?코미디
","똑똑하고 비꼬는 것에 도가 튼 웬즈데이 아담스. 암울함을 풍기는 그녀가 네버모어 아카데미에서 연쇄 살인 사건을 조사하기 시작한다. 새 친구도 사귀고, 앙숙도 만들며.",넷플릭스,15 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/tNWCukAMubqisamYURvo5jw61As.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/tNWCukAMubqisamYURvo5jw61As.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/iHSwvRVsRyxpX7FE7GbviaDvgGZ.jpg
1,2,플래시,Greg Berlanti,"Grant Gustin, Candice Patton, Danielle Panabaker","
드라마,?Sci-Fi & Fantasy
",낙뢰 사고의 후유증으로 초인적인 스피드를 가지게 된 CSI 수사관 배리 앨런이 범죄에 맞서 싸우는 영웅 플래시로 활약하는 이야기를 그리는 드라마,넷플릭스,TV-14 이용가,2014,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/rg8N7x27Ef6PvlIiioLStf9ZaIO.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/rg8N7x27Ef6PvlIiioLStf9ZaIO.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/gFkHcIh7iE5G0oVOgpmY8ONQjhl.jpg
2,3,루시퍼,Tom Kapinos,"Tom Ellis, Lauren German, Kevin Alejandro","
범죄,?Sci-Fi & Fantasy
",지긋지긋한 지옥 생활을 청산하고 은퇴를 선언한 악마. LA로 와 나이트클럽을 열고 인생을 즐기던 어느 날 강력계 형사를 만나면서 새로운 삶을 살기 시작한다.,넷플릭스,19 이용가,2016,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ekZobS8isE6mA53RAiGDG93hBxL.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ekZobS8isE6mA53RAiGDG93hBxL.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/xZUZ9i6vVayjyhR1vRo9Bjku4h.jpg
3,4,워킹 데드,Frank Darabont,"Norman Reedus, Melissa McBride, Lauren Cohan","
Action & Adventure,?드라마,?Sci-Fi & Fantasy
","2010년 10월 AMC에서 방영을 시작한 좀비 아포칼립스물. 조지아 주의 보안관 릭은 범인 검거 중에 총상을 입고 혼수상태에 빠진다. 어느 날 혼수 상태에서 깨어난 릭은 폐허가 되어 버린 세상이 좀비들로 뒤덮여 있는 것을 발견한다. 쇠약해진 몸으로 병원을 빠져나온 릭은 워커라고 불리는 좀비들을 피해 생존자를 찾아다니고, 마을의 생존자 모건 부자의 도움을 받아 건강을 회복한 후 아내 로리와 아들 칼을 찾으러 애틀랜타로 떠나지만, 릭을 반긴 것은 셀 수 없이 많은 워커 무리들. 간신히 전차 내부로 피신한 릭을 백화점에 숨어있던 생존자 일행이 도와서 겨우 전차에서 빠져나오는데...",넷플릭스,19 이용가,2010,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/sMclUciz4ri4lmw7vdBZMdLIqry.jpg
4,5,슈츠,Aaron Korsh,"Gabriel Macht, Sarah Rafferty, Rick Hoffman","
드라마
","뜻밖의 행운일까, 아니면 뛰어난 재능일까. 뉴욕의 거대 로펌에 들어간 대학 중퇴 청년. 엘리트 변호사와 의기투합한 그가 시시하고 따분한 세상을 상대로 소송을 건다.",넷플릭스,15 이용가,2011,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lvYWwQj89ioSk9WzhC1KEujmpWa.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lvYWwQj89ioSk9WzhC1KEujmpWa.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/or0E36KfzJYZwqXeiCfm1JgepKF.jpg
5,6,릭 앤 모티,Dan Harmon,"Justin Roiland, Spencer Grammer, Chris Parnell","
애니메이션,?코미디,?Sci-Fi & Fantasy,?Action & Adventure
",술에 절어 사는 천재 과학자 릭은 투정이 심한 10대 손자 모티를 데리고 외계와 대체 현실로 아슬아슬한 모험을 떠난다.,넷플릭스,19 이용가,2013,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/cvhNj9eoRBe5SxjCbQTkh05UP5K.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/cvhNj9eoRBe5SxjCbQTkh05UP5K.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/uGy4DCmM33I7l86W7iCskNkvmLD.jpg
6,7,피키 블라인더스,Steven Knight,"Cillian Murphy, Paul Anderson, Sophie Rundle","
드라마,?범죄
","2013년 9월 BBC Two에서 방영을 시작한 시대극. 1차 세계대전 직후인 1919년 영국 버밍엄, 토마스 셸비를 주축으로 한 셸비 가문은 악명 높은 범죄 조직인 피키 블라인더스를 이끌고 암흑가의 정상을 차지하기 위해 수단과 방법을 가리지 않는다.",넷플릭스,18 이용가,2013,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/8V1XPEDLtJoxOWlE6gYzn2sQaMp.jpg
7,8,블랙리스트,Jon Bokenkamp,"James Spader, Diego Klattenhoff, Harry Lennix","
드라마,?범죄,?미스터리
",FBI 10대 수배범에 올라가있는 거물 범죄 브로커 레이먼드 레딩턴이 어느날 갑자기 FBI 본부에 나타나 자수를 한다. 그러면서 레딩턴은 자신이 1급 범죄자들의 블랙리스트를 가지고 있다면서 사법거래를 요구하고 그 조건으로 FBI의 신참 프로파일러인 엘리자베스 킨하고만 이야기 하겠다고 요구한다. 한편 암에 걸린 양아버지를 두면서 남편과 함께 아기의 입양을 꿈꾸며 행복하게 살고 있던 엘리자베스의 삶은 레딩턴과의 만남과 우연히 발견하게 된 남편의 가짜 여권들을 통해 급변하게 되는데...,넷플릭스,15 이용가,2013,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/htJzeRcYI2ewMm4PTrg98UMXShe.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/htJzeRcYI2ewMm4PTrg98UMXShe.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/dDPwCyZG8arYwMDoQl0sm4xccCE.jpg
8,9,바이킹스,Michael Hirst,"Katheryn Winnick, Alexander Ludwig, Gustaf Skarsg?rd","
Action & Adventure,?드라마,?War & Politics
",2013년 3월 History에서 방영을 시작한 역사물. 바이킹 영웅 라그나 로스브로크는 새로운 대륙을 향해 탐험하고 싶어하지만 카테가트의 영주인 백작은 모험적인 항해를 원치 않아 라그나의 의견을 묵살한다. 라그나는 친구이자 배를 만드는 기술자인 플로키의 도움을 받아 백작 몰래 출항에 성공한다. 라그나는 새로운 대륙인 잉글랜드를 발견하고 동료들과 함께 노섬브리아 왕국 영토에 있는 수도원을 잔인하게 약탈하고 수도승 애설스탠을 노예로 삼는다. 처음 보는 바이킹의 야만적인 침략에 노섬브리아 왕국은 크게 분노하면서도 바이킹을 두려워하는데...,넷플릭스,14+ 이용가,2013,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/lHe8iwM4Cdm6RSEiara4PN8ZcBd.jpg
9,10,브레이킹 배드,Vince Gilligan,"Bryan Cranston, Aaron Paul, Anna Gunn","
드라마
",2008년 1월 AMC에서 방영을 시작한 범죄 스릴러. Breaking Bad는 막가기를 뜻하는 미국 남부 지방의 속어이다. 한때 노벨화학상까지 바라 볼 정도로 뛰어난 과학자였던 고등학교 화학 교사 월터 화이트는 자신의 50세 생일 날에 폐암 3기 진단을 받는다. 어느 날 동서와 함께 마약 단속 현장을 참관한 그는 현장에서 달아나는 옛 제자 제시를 발견한다. 뇌성마비에 걸린 고등학생 아들과 임신한 아내를 위해 제시에게 동업을 제의한 월터는 자신의 화학지식을 이용해 전례없는 고순도 고품질의 메스암페타민을 제조한다.,넷플릭스,19 이용가,2008,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ggFHVNu6YYI5L9pCfOacjizRGt.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ggFHVNu6YYI5L9pCfOacjizRGt.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/tsRy63Mu5cu8etL1X7ZLyf7UP1M.jpg
10,11,퍼피 구조대,Keith Chapman,"Ron Pardo, Kallan Holley, Samuel Faraci","
애니메이션,?Kids
","퍼피구조대 대장 라이더와 용감한 여섯마리의 강아지 구조대의 이야기. 안전한 어드벤쳐 베이를 만들기 위한 라이더 대장과 여섯마리 귀여운 강아지 구조대의 끊임없는 연습과 도전! 경찰견 체이스와 소방견 마샬, 공사견 러블, 미화견 로키에 해양구조견 주마와 하늘을 나는 스카이까지! 여섯마리 강아지의 엉뚱발랄 신나는 구조활동을 지켜봐주세요!",넷플릭스,ALL 이용가,2013,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/juAmsE4GC6gql0L1HsDmABkLWuX.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/juAmsE4GC6gql0L1HsDmABkLWuX.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/7OrV2aAH5Yp7hA9zCCvUloLvZtl.jpg
11,12,너의 모든 것,Greg Berlanti,"Penn Badgley, Victoria Pedretti, Saffron Burrows","
미스터리,?범죄,?드라마
","지적이고 영리한 서점 직원. 하지만 위험한 내면을 지닌 그가 작가 지망생에게 반한다. 마음이 끌리는 사람에게 다가가기 위해서라면, 무슨 짓이든 할 수 있다. 위험한 매력의 소유자, 집착의 끝을 보여주는 남자. 그의 소름 끼치는 로맨스가 시작된다.",넷플릭스,19 이용가,2018,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/5jKHUJATJDwLE7fAgH5NvTRipXS.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/5jKHUJATJDwLE7fAgH5NvTRipXS.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/vmaiCsfTQ2SSfMSWsPHcFSubPpD.jpg
12,13,페파 피그,Neville Astley,"John Sparkes, Lily Snowden-Fine, Morwenna Banks","
애니메이션,?Kids
","페파 피그는 엄마, 아빠, 그리고 남동생 조지와 함께 사는 활기찬 돼지입니다. 그녀는 진흙 웅덩이에 뛰어드는 것과 큰 코웃음 소리를 내는 것을 좋아합니다.",넷플릭스,7 이용가,2004,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/aTaGTqkbMWoy0ef0M48qJkMltxE.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/aTaGTqkbMWoy0ef0M48qJkMltxE.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/28yQ4VmGjoykPscUQqXHzh9Z2op.jpg
13,14,사인필드,Jerry Seinfeld,"Jerry Seinfeld, Jason Alexander, Michael Richards","
코미디
",코미디언 제리 사인필드가 직접 자신의 삶을 무대로 연기한 드라마,넷플릭스,TV-12세 이용가,1989,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/aCw8ONfyz3AhngVQa1E2Ss4KSUQ.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/aCw8ONfyz3AhngVQa1E2Ss4KSUQ.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/wEP4CLuxGFrkECTyY50cVMGySLm.jpg
14,15,기묘한 이야기,Matt Duffer,"Winona Ryder, David Harbour, Millie Bobby Brown","
드라마,?Sci-Fi & Fantasy,?미스터리
","인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다.",넷플릭스,15 이용가,2016,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/mpOQpOKdo2XJnTqRzo1lTmDNsc1.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/mpOQpOKdo2XJnTqRzo1lTmDNsc1.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/56v2KjBlU4XaOv9rVYEQypROD7P.jpg
15,16,애로우: 어둠의 기사,Greg Berlanti,"Stephen Amell, David Ramsey, Emily Bett Rickards","
범죄,?드라마,?미스터리,?Action & Adventure
",스탈링 시티의 잘나가는 재벌 2세 올리버 퀸은 아버지와 보트 여행에 나섰다가 태풍을 만나 난파를 당한다. 그는 5년 동안 외딴 섬에 표류되어 생존을 위한 처절한 사투를 벌이고 마침내 고향으로 돌아온다. 아버지의 유언에 따라 스탈링 시티의 엘리트 범죄자들을 사냥하기위해 스스로 자경단원을 자처하는 올리버퀸. 그러나 그의 앞날에는 그의 상상보다 더 큰 진실과 음모가 기다리고 있는데...,넷플릭스,TV-14 이용가,2012,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/vNnLAKmoczRlNarxyGrrw0KSOeX.jpg
16,17,섹스/라이프,Stacy Rukeyser,"Sarah Shahi, Mike Vogel, Adam Demos","
코미디,?드라마
","아내이자 엄마로 살아가는 그녀. 하지만 대담하고 관능적인 과거가 평온한 현재를 뒤흔든다. 그가 다시 나타났기 때문이다. 언제나 그녀 마음에 남아있던 남자, 불꽃처럼 타오르던 나쁜 남자가.",넷플릭스,19 이용가,2021,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kfcJl5e8CRWDU7e4vX6uNABPRbS.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kfcJl5e8CRWDU7e4vX6uNABPRbS.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/9nBVkNBe4x9HKDAzxjxlIqecxCW.jpg
17,18,원헌드레드,Jason Rothenberg,"Eliza Taylor, Marie Avgeropoulos, Bob Morley","
Sci-Fi & Fantasy,?드라마,?Action & Adventure
","지구가 핵전쟁으로 황폐해지고 한 세기의 시간이 흐른 뒤, 우주 정거장에 살던 사람들 100명이 인류의 생존 가능성을 알아내기 위해 지구로 보내진다.",넷플릭스,TV-14 이용가,2014,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/wcaDIAG1QdXQLRaj4vC1EFdBT2.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/wcaDIAG1QdXQLRaj4vC1EFdBT2.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/hTExot1sfn7dHZjGrk0Aiwpntxt.jpg
18,19,섀도우 앤 본,Eric Heisserer,"Jessie Mei Li, Archie Renaux, Freddy Carter","
드라마,?Sci-Fi & Fantasy
","암흑의 시대, 둘로 나뉜 세상. 그곳에 마법의 힘을 지닌 소녀 병사가 나타난다. 어둠의 세력과 그 음모에 맞서, 그녀는 세상을 통일할 수 있을까. 빛을 가져올 수 있을까.",넷플릭스,19 이용가,2021,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/v0qsqqLINgn4HDE1wxh8q9RkeBU.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/v0qsqqLINgn4HDE1wxh8q9RkeBU.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/qzSjrYSZAWrjhg6Yf3hCcfJE4o0.jpg
19,20,틴 울프,Jeff Davis,"Tyler Posey, Dylan O'Brien, Holland Roden","
Sci-Fi & Fantasy,?드라마
","어느 날 갑자기 늑대인간이 되어버린 후, 우정과 사랑을 지키며 스스로 살아남기 위해서 싸우는 고등학생 스캇의 이야기. 1985년 제작된 동명 영화를 리메이크한 작품.",넷플릭스,TV-14 이용가,2011,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vY2vfAskJTiWsQSv6bdbNCQhPLm.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/vY2vfAskJTiWsQSv6bdbNCQhPLm.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/gZzIQxo2ukFSdZGtlttA0wI6kax.jpg
20,21,더 글로리,Kim Eun-sook,"Song Hye-kyo, Lee Do-hyun, Lim Ji-yeon","
드라마
","고등학교 시절, 끔찍한 괴롭힘에 시달렸던 여자. 많은 시간이 흐른 후, 가해자들을 응징하기 위해 그녀가 치밀한 복수를 감행한다.",넷플릭스,19 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/m0cNGGKPVF3Yccx7iBQZUBQxuLJ.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/m0cNGGKPVF3Yccx7iBQZUBQxuLJ.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/7vCSrzwqS5PEm0i5mHlkDfjHcnX.jpg
21,22,지금 우리 학교는,Chun Sung-il,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun","
Action & Adventure,?드라마,?Sci-Fi & Fantasy
",좀비 바이러스 발생의 시발점이 된 고등학교. 이곳에 갇힌 학생들은 필사적으로 탈출구를 찾아야만 한다. 그렇지 않으면 감염되어 좀비가 될 뿐.,넷플릭스,19 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/m9Ta1jQNyrRGBTMP2D4ixwCIGb7.jpg
22,23,환혼,Hong Mi-ran,"Lee Jae-wook, Minhyun, Yu Jun-sang","
드라마,?Action & Adventure,?미스터리,?Sci-Fi & Fantasy
","역사에도 지도에도 존재하지 않은 대호국을 배경으로, 영혼을 바꾸는 '환혼술'로 인해 운명이 비틀린 주인공들이 이를 극복하고 성장해가는 판타지 로맨스 활극",넷플릭스,15 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pGs6UA4rPUZEokDyTwAGdRvwrAD.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pGs6UA4rPUZEokDyTwAGdRvwrAD.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/nBZyWSGAUEzCH7Mna0zUNTpBQlQ.jpg
23,24,오징어 게임,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Jung Ho-yeon","
Action & Adventure,?미스터리,?드라마
",빚에 쫓기는 수백 명의 사람들이 서바이벌 게임에 뛰어든다. 거액의 상금으로 새로운 삶을 시작하기 위해. 하지만 모두 승자가 될 순 없는 법. 탈락하는 이들은 치명적인 결과를 각오해야 한다.,넷플릭스,19 이용가,2021,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/yACIAqAkSLkX4coHafpyLWAtQjw.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/yACIAqAkSLkX4coHafpyLWAtQjw.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/xYTnihl7qffiLSZ6yLMSpBkPdXC.jpg
