,id,title,director,actor,genre,story,platform,time,age,year,thumb,photo1,photo2,video
0,1,머니 샷: 폰허브를 말하다,Suzanne Hillinger,"Noelle Perdue, Mike Stabile, Siri","
다큐멘터리
","폰허브의 성공과 추문에 대해 깊숙이 파헤친다. 배우, 운동가 그리고 전직 직원들의 인터뷰로 이루어진 다큐멘터리.",넷플릭스,"
1시간 35분
    ",19세 이용가,2023,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kUWTY8rwEZ3d8G31GuPMbvqS67D.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/kUWTY8rwEZ3d8G31GuPMbvqS67D.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/sGE6N1vJjxZLkOJEXdIOqTslxuL.jpg,없음
1,2,로알드 달의 뮤지컬 마틸다,Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch","
가족,?코미디,?판타지
",남다른 소녀가 나타났다.  명석한 두뇌와 풍부한 상상력으로 무장한 소녀의 이야기.  이 특별한 아이는 자신의 이야기를 기적적인 결과로 바꾸고자 당당하게 나선다.  토니상 및 올리비에상 수상 뮤지컬을 새롭게 각색한 '로알드 달의 뮤지컬 마틸다'.  놀라운 상상력을 가진 특별한 소녀가 용기를 발휘해 운명을 개척하고 기적 같은 결과를 이뤄내는 이야기를 담았다.,넷플릭스,"
1시간 57분
    ",ALL 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/nWs0auTqn2UaFGfTKtUE5tlTeBu.jpg,https://www.themoviedb.org//video/play?key=ItlUB_dhnI8
2,3,스파이더맨: 노 웨이 홈,Stan Lee,"Tom Holland, Zendaya, Benedict Cumberbatch","
액션,?모험,?SF
",미스테리오의 계략으로 세상에 정체가 탄로난 스파이더맨 피터 파커는 하루 아침에 평범한 일상을 잃게 된다. 문제를 해결하기 위해 닥터 스트레인지를 찾아가 도움을 청하지만 뜻하지 않게 멀티버스가 열리면서 각기 다른 차원의 불청객들이 나타난다. 닥터 옥토퍼스를 비롯해 스파이더맨에게 깊은 원한을 가진 숙적들의 강력한 공격에 피터 파커는 사상 최악의 위기를 맞게 되는데…,넷플릭스,"
2시간 28분
    ",12 이용가,2021,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/voddFVdjUoAtfoZZp2RUmuZILDI.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/voddFVdjUoAtfoZZp2RUmuZILDI.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,https://www.themoviedb.org//video/play?key=W7edvITC9g4
3,4,기예르모 델토로의 피노키오,Guillermo del Toro,"Gregory Mann, Ewan McGregor, David Bradley","
애니메이션,?판타지,?드라마,?음악
","많은 이들의 사랑을 받은 목각 인형 피노키오의 마법 같은 모험. 현실의 한계를 뛰어넘어, 새 생명을 불어넣는 강력한 사랑의 힘이 펼쳐진다. 이탈리아 고전 동화 ""피노키오""가 스톱모션 뮤지컬로 재탄생한다. 말썽꾸러기 피노키오는 과연 인간 소년이 될 수 있을까? 그 여정을 따라가 보자.",넷플릭스,"
1시간 57분
    ",All 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6bdUtxydFXLtgcxHMMvlkNnRZWg.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6bdUtxydFXLtgcxHMMvlkNnRZWg.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/e782pDRAlu4BG0ahd777n8zfPzZ.jpg,https://www.themoviedb.org//video/play?key=7BQnfkeQ22A
4,5,디보션,J.D. Dillard,"Jonathan Majors, Glen Powell, Christina Jackson","
전쟁,?역사,?드라마
",미 해군 최초의 흑인 파일럿 제시 브라운. 한국 전쟁에서 위험을 무릅쓴 비행에 나선다. 그리고 그의 곁에는 생사를 함께하는 윙맨 톰 허드너가 있다.,넷플릭스,"
2시간 19분
    ",12 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/26yQPXymbWeCLKwcmyL8dRjAzth.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/26yQPXymbWeCLKwcmyL8dRjAzth.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/5pMy5LF2JAleBNBtuzizfCMWM7k.jpg,없음
5,6,루터: 태양의 몰락,Jamie Payne,"Idris Elba, Cynthia Erivo, Andy Serkis","
스릴러,?범죄,?액션,?미스터리
","실력은 뛰어나지만 불명예스러운 낙인이 찍힌 런던 형사, 존 루터. 미해결 살인 사건의 환영에 시달리며 고통받던 그는 가학적인 연쇄 살인마를 처단하기 위해 감옥에서 탈출한다.",넷플릭스,"
2시간 9분
    ",19세 이용가,2023,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/1wRlTIeqTO9A5osxjjgjXsRpRro.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/1wRlTIeqTO9A5osxjjgjXsRpRro.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/eN6R6mb3ntHwA3y3MhSwpP78ljN.jpg,https://www.themoviedb.org//video/play?key=3XnoFeolgRY
6,7,쥬라기 월드: 도미니언,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern","
모험,?액션,?SF
","공룡들의 터전이었던 이슬라 누블라 섬이 파괴된 후,  마침내 공룡들은 섬을 벗어나 세상 밖으로 출몰한다. 지상에 함께 존재해선 안 될 위협적 생명체인 공룡의 등장으로 인류 역사상 겪어보지 못한 사상 최악의 위기를 맞이한 인간들. 지구의 최상위 포식자 자리를 걸고 인간과 공룡의 최후의 사투가 펼쳐진다.",넷플릭스,"
2시간 27분
    ",12 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/odxdUZWZ7fBfy3ZRj063wuJnZvo.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/odxdUZWZ7fBfy3ZRj063wuJnZvo.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/jauI01vUIkPA0xVsamGj0Gs1nNL.jpg,https://www.themoviedb.org//video/play?key=DSEfRVqjbFA
7,8,보스 베이비: 크리스마스 보너스,Matt Engstrom,"JP Karliak, Pierce Gagnon, Amaryllis Aubel","
애니메이션,?가족,?모험,?TV 영화
",어쩌다 산타의 요정 중 한명과 뒤바뀌어 북극에 온 보스 베이비. 크리스마스이브 전통을 바꿔놓는다. 보스 베이비 방식으로!,넷플릭스,"
47분
    ",12세 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/iMmMxF6f2OonUrXrHKBLSYAhXly.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/iMmMxF6f2OonUrXrHKBLSYAhXly.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/nITzFbM1JS7WEvFjjGL0kCb2yPr.jpg,없음
8,9,바비와 스키퍼의 베이비시팅 대모험,Steve Daye,"Kirsten Day, America Young, Ogie Banks","
가족,?애니메이션
",어려움에 부딪힌 스키퍼의 베이비시팅 사업. 스키퍼는 대신 이번 여름 워터 파크에서 아르바이트를 하기로 한다. 그런데 여기서도 아이 돌보기 실력이 쓸모 있을 줄이야.,넷플릭스,"
1시간 3분
    ",Ai 이용가,2023,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/3JysDbn3kZ1nc4a1yQgkg81KIdZ.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/3JysDbn3kZ1nc4a1yQgkg81KIdZ.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/tMF3M6HJxyHlPF8UBCyWyylHWR.jpg,없음
9,10,오르가즘 주식회사: 쾌락을 판 어느 회사의 진실,Sarah Gibson,출연 정보 없음,"
다큐멘터리
",섹슈얼 웰니스를 표방한 신생 회사. 이들이 내세운 ‘오르가즘 명상’ 방법이 유명해지면서 추종자들이 늘어간다. 하지만 곧 멤버들로부터 충격적인 고발이 쏟아지기 시작한다.,넷플릭스,"
1시간 29분
    ",19세 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/yqI3XQ1nmvxFpBus1BescRrRBAj.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/yqI3XQ1nmvxFpBus1BescRrRBAj.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/hraytJBd1Ztcp7k9So4zLFcgsyh.jpg,없음
