,id,title,director,actor,genre,story,platform,age,year,thumb,photo1,photo2,video
0,1,NCIS,Donald P. Bellisario,"David McCallum, Sean Murray, Mark Harmon","
범죄,?드라마,?Action & Adventure
",NCIS는 미국의 수사드라마 시리즈로 미해군과 해병대 관련 범죄수사를 담당하는 가상의 해군범죄수사대에 관한 드라마.,왓챠,15 이용가,2003,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/2exOHePjOTquUsbThPGhuEjYTyA.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/2exOHePjOTquUsbThPGhuEjYTyA.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/5rnL7gIZQvYEKSFTxehqnGcG88u.jpg,없음
1,2,하우스,David Shore,"Hugh Laurie, Jesse Spencer, Omar Epps","
드라마,?미스터리
","2004년 11월 FOX에서 방영을 시작한 미스터리 의학 시리즈. 프린스턴 플레인즈보로 대학병원의 진단의학과 과장인 그레고리 하우스는 환자들을 성심성의껏 돌보는 데는 영 꽝인 의사. 사사건건 병원 원장인 리사 커디와 부딪히는 그는 못된 매너와 그 매너를 더욱 돋보이게 하는 외모로 유명하지만, 또한 창조적인 생각과 결점없는 의학적 본능을 유감없이 발휘하는 최고의 의사이기도 하다. 천재적인 분석능력을 갖춘 전염병 전문의로서 그가 이제 인명을 살리기 위한 흥미롭고 미스터리한 의학의 퍼즐을 풀어간다.",왓챠,TV-14 이용가,2004,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/5rIQ3pTjWdZjNUJSJxn1T8MIvoG.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/5rIQ3pTjWdZjNUJSJxn1T8MIvoG.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/r9t9lblyPfudl0LV0Ujg1nXdKyW.jpg,없음
2,3,프렌즈,Marta Kauffman,"Jennifer Aniston, Courteney Cox, Lisa Kudrow","
코미디,?드라마
","1994년 5월 NBC에서 방영을 시작한 시트콤. 미국 뉴욕 시 맨해튼의 그리니치 빌리지의 아파트와 까페 센트럴 퍼크를 중심으로 2-30대의 세 명의 남자와 세 명의 여자의 우정과 사랑, 삶을 그렸다. 부잣집 맏딸이자 응석받이로 자라 온 레이첼은 결혼식을 앞두고 결혼 선물들을 쳐다보던 중 자신이 남편보다 결혼선물을 더 사랑한다는 사실을 깨닫고 회의감을 느끼게 된다. 이를 계기로 불현듯 결혼식에서 도망쳐 나오게 되고, 뉴욕에 아버지의 그늘을 피할 곳을 찾다가 결혼식 전 우연히 만난 고등학교 동창 모니카와 재회하게 된다.",왓챠,15 이용가,1994,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/f496cm9enuEsZkSPzCwnTESEK5s.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/f496cm9enuEsZkSPzCwnTESEK5s.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,없음
3,4,더 루키,Alexi Hawley,"Nathan Fillion, Melissa O'Neil, Eric Winter","
범죄,?드라마
",이혼 후 은행 강도를 당한 일을 계기로 LAPD에 지원한 40세의 최고령 신입을 중심으로 펼쳐지는 이야기,왓챠,TV-14 이용가,2018,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/uyuCMmAxNL3z3fyW4xzefT886Yu.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/uyuCMmAxNL3z3fyW4xzefT886Yu.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/ryLgyKfU66ZyJhItFT1WnMRjCbN.jpg,없음
4,5,스와트,Aaron Rahsaan Thomas,"Shemar Moore, Alex Russell, Jay Harrington","
범죄,?Action & Adventure,?드라마
","로스앤젤레스에서 발생하는 특수임무를 수행하는 특수 기동대, S.W.A.T.은 리더 혼도의 지휘 아래, 팀원들은 꼬리에 꼬리를 무는 사건과 그 뒤에 숨은 거대한 세력에 맞서 도시를 지킨다.",왓챠,TV-14 이용가,2017,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/7Bttz4hEspKlpU0Me57dkHNR3nf.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/7Bttz4hEspKlpU0Me57dkHNR3nf.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/psImsio70fZGLmt6TfyV4N62Ro.jpg,없음
5,6,오피스,Ricky Gervais,"Rainn Wilson, John Krasinski, Jenna Fischer","
코미디
",팬실베니아 스크랜튼에 위치한 사무용지 판매회사 던더 미플린의 스크랜턴 지점. 무미건조한 사무실에서 깐깐한 지점장과 독특한 캐릭터의 부하들이 벌이는 코믹 해프닝과 가슴 찡한 이야기가 펼쳐진다. BBC에서 방영된 동명 영국 시리즈의 할리우드 리메이크.,왓챠,15 이용가,2005,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/qWnJzyZhyy74gjpSjIXWmuk0ifX.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/qWnJzyZhyy74gjpSjIXWmuk0ifX.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/cvf8IRQBm6x0bMVrfX2sMO9BMMm.jpg,없음
6,7,빅뱅 이론,Chuck Lorre,"Jim Parsons, Johnny Galecki, Kaley Cuoco","
코미디
","2007년 9월 CBS에서 방영을 시작한 시트콤. 캘리포니아공과대학(Caltech) 소속의 박사/석사인 쉘든, 레너드, 하워드, 그리고 라제쉬는 지적으로는 뛰어난 인재들이지만, 괴짜 같은 취향에 사회성도 떨어지는 친구 사이이다. 어느 날 실험 물리학자인 레너드와 이론 물리학자인 쉘든이 살고 있는 아파트 건너편에 매력적인 금발의 여배우를 꿈꾸는 종업원 페니가 이사온다. 한 눈에 페니에게 반한 레너드는 그녀의 마음을 얻기 위해 그녀를 점심 식사에 초대하지만, 쉘든은 이 둘이 잘 될 확률은 절대 없을 것이라며 코웃음을 친다.",왓챠,15 이용가,2007,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/7RySzFeK3LPVMXcPtqfZnl6u4p1.jpg,없음
7,8,CSI: 마이애미,Anthony Zuiker,"David Caruso, Emily Procter, Adam Rodr?guez","
드라마,?미스터리,?범죄
",플로리다 주의 마이애미 데이드 경찰청. 호레이쇼 반장과 CSI 과학 수사 대원들은 논리적인 증거 분석과 본능적인 수사로 마이애미에서 일어나는 위험한 범죄들을 해결해나간다.,왓챠,15 이용가,2002,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pNW64pjaHvf6purNaFhq4SHYRfl.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pNW64pjaHvf6purNaFhq4SHYRfl.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/2sjy8Tu8PJGFQI4Foz4682qk8Mw.jpg,없음
8,9,씰 팀,Benjamin Cavell,"David Boreanaz, Max Thieriot, Neil Brown Jr.","
Action & Adventure,?드라마,?War & Politics
",국가가 요구하는 가장 위험하고 어려운 작전을 계획하고 수행하는 최정예 해군 특수부대 씰 팀의 삶을 보여주는 드라마.,왓챠,TV-14 이용가,2017,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6iSnec83UEMgLOXAtGYwaVNHLjR.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6iSnec83UEMgLOXAtGYwaVNHLjR.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/ojyo33io8HGxNCRg21Z1o87YEZX.jpg,없음
9,10,루터,Neil Cross,"Idris Elba, Michael Smiley, Dermot Crowley","
범죄,?드라마,?미스터리
",냉철하고 능력있는 형사 루터가 여러 사이코패스 킬러들의 사건을 해결하는 이야기,왓챠,15 이용가,2010,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/hDxOMX8zzH1FiqKWVBzNaYGBkle.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/hDxOMX8zzH1FiqKWVBzNaYGBkle.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/A2qdFRq9oJDC5E7fbgSS4POUMDF.jpg,없음
