,id,title,director,actor,genre,story,platform,time,age,year,thumb,photo1,photo2,video
0,1,폴: 600미터,Scott Mann,"Grace Caroline Currey, Virginia Gardner, Jeffrey Dean Morgan","
스릴러,?드라마
",내려갈 길이 끊겨버린 600미터 TV 타워 위에서  두 명의 친구가 살아남기 위해 펼치는 사상 최초의 고공 서바이벌 여기에서,왓챠,"
1시간 47분
    ",12세-13 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/8huJowZK1t7MNLEKo3dgLAxmiLW.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/8huJowZK1t7MNLEKo3dgLAxmiLW.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/hlxduUs8y9icWGMzYCDLcYHEQ2u.jpg,https://www.themoviedb.org//video/play?key=jOPihnkCNmU
1,2,크리드,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson","
드라마
","복싱 챔피언인 아폴로 크리드의 아들 아도니스 존슨 크리드(마이클 B. 조던)는 부모를 잃고 방탕한 생활을 일삼다 돌아가신 아버지의 재혼한 부인인 메리 앤드 크리드의 양자로 들어가 자란다. 아버지로부터 물려받은 끼를 주체하지 못하던 그는 멕시코에 가서 몰래 경기를 하다가, 결국 양어머니의 만류에도 불구하고 공식적으로 복싱에 뛰어든다. 조언을 받기 위해 아버지 아폴로 크리드의 옛 친구 록키 발보아를 만나기 위해 무작정 필라델피아로 향하고, 고심 끝에 록키 발보아는 아도니스 존슨의 매니저가 되기로 하는데...",왓챠,"
2시간 12분
    ",12세-13 이용가,2015,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/kODNw6GJNdgldUMEhKPlCw8wQCr.jpg,https://www.themoviedb.org//video/play?key=fE9ILBzCdlY
2,3,도그,Reid Carolin,"Channing Tatum, Jane Adams, Kevin Nash","
드라마,?코미디
","이라크 파병으로 인한 후유증으로 부대 복귀가 불가능한 특수부대 출신 미군 ‘잭슨’. 어느 날 그의 동료의 사망소식을 듣고, 그의 군견 ‘룰루’를  2400km나 떨어진 그의 장례식장에 데려가면 복직을 추천해주겠다는 상관의 제안을 받는다. 잭슨은 이를 수락하지만, 룰루 또한 이미 전투 후유증으로 사나운 사고뭉치가 되어 있었다. 잭슨과 룰루는 서로에 대한 마음도 열지 못한 채 둘만의 여정을 떠나게 되는데…",왓챠,"
1시간 42분
    ",12세-13 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6Kcy1Pt0RSlD6yvTx0oGG1wpIsH.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6Kcy1Pt0RSlD6yvTx0oGG1wpIsH.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/cGnaZm6EQOJESde3Vv4v53Zk4gN.jpg,https://www.themoviedb.org//video/play?key=Y4XujxJEAXo
3,4,핵소 고지,Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn","
드라마,?역사,?전쟁
",비폭력주의자인 도스는 전쟁으로부터 조국과 소중한 사람들을 지키기 위해 총을 들지 않아도 되는 의무병으로 육군에 자진 입대한다. 총을 들 수 없다는 이유로 필수 훈련 중 하나인 총기 훈련 마저 거부한 도스는 동료 병사들과 군 전체의 비난과 조롱을 받게 된다. 결국 군사재판까지 받게 되지만 끝까지 자신의 신념을 굽히지 않은 도스에게 군 상부는 오키나와 전투에 총기 없이 의무병으로 참전할 것을 허락하는데…,왓챠,"
2시간 19분
    ",MA15+ 이용가,2016,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/nlvcNogJK9R9iIj0YINApQE36FF.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/nlvcNogJK9R9iIj0YINApQE36FF.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rshlQ6LfPRSWFhpGL4s5ZkIPR51.jpg,https://www.themoviedb.org//video/play?key=Pfgkpiu7JGM
4,5,인터스텔라,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","
모험,?드라마,?SF
","세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데...",왓챠,"
2시간 49분
    ",12 이용가,2014,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/zDNAeWU0PxKolEX1D8Vn1qWhGjH.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/zDNAeWU0PxKolEX1D8Vn1qWhGjH.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rAiYTfKGqDCRIIqo664sY9XZIvQ.jpg,https://www.themoviedb.org//video/play?key=66_Iosx46DI
5,6,엑소시즘: 신과 퇴마사,Alejandro Hidalgo,"Will Beinbrink, Mar?a Gabriela de Far?a, Ir?n Castillo","
공포
","멕시코 디오스에서 사역 중이던 미국인 신부 피터는 귀신 들린 마갈리 수녀에 대한 엑소시즘 도중 악령에 홀려 그녀를 탐하는 죄를 짓는다. 18년 후, 피터는 고아들과 소외된 자를 도우며 성인으로 칭송받는다. 어느 날, 원인을 알 수 없는 역병으로 4명의 아이들이 세상을 떠나고 피터는 자신이 지은 과거의 잘못에 대한 하나님의 징벌이라고 자책한다. 피터는 파문을 각오하고 잘못을 고하기 위해 발두치 주교를 찾아가지만, 교황청에서 피터를 주목하고 있다는 말을 들은 후 지원받은 약과 장비를 들고 돌아온다. 그날 밤, 악령 들린 하나님의 아들 예수에 대한 악몽을 꾼 피터는 우리베 교도소장의 전화를 받고 사라가도 코라존 교도소를 방문한다. 마갈리는 악마에 사로잡힌 에스페란자가 피터의 딸이라고 말하며 악령을 쫓아내 달라고 부탁한다. 피터는 에스페란자에 대한 엑소시즘을 위해 최고의 구마 사제인 마이클 신부에게 도움을 요청한다. 피터와 마이클 신부는 에스페란자의 육체를 빌려 돌아온 악마 발반에 맞서 구마 의식을 행하는데...",왓챠,"
1시간 38분
    ",19세 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/dmX8jqkZbFBgMtRGHFvjbfNrpEp.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/dmX8jqkZbFBgMtRGHFvjbfNrpEp.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,없음
6,7,미 비포 유,Jojo Moyes,"Emilia Clarke, Sam Claflin, Janet McTeer","
드라마,?로맨스
","6년간 일하던 카페가 폐업하면서 하루아침에 일자리를 잃은 루이자(에밀리아 클라크). 그녀는 새 직장을 찾던 중 집에서 가깝고 보수도 좋은 간병인 일을 찾게 되고, 면접을 본 그날 바로 채용이 결정된다. 하지만 루이자가 간병해야 할 윌(샘 클라플린)은 2년 전 사고로 전신마비 환자가 된 자신을 받아들이지 못하고 남에게 쌀쌀맞기 일쑤다. 어느 날 윌이 루이자에게 유독 심한 독설을 퍼붓자 루이자는 참지 못해 그의 태도를 따끔하게 지적하고, 그때부터 윌은 그녀에게 호감을 느끼기 시작한다. 두 사람이 점점 가까워지던 사이, 루이자는 윌이 존엄사를 계획하고 있음을 알게 되는데...",왓챠,"
1시간 50분
    ",12 이용가,2016,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/aCnkVi4QTuc7E0d0qp0SAnRA3M0.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/aCnkVi4QTuc7E0d0qp0SAnRA3M0.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/7jjwdoIVPJp7gcDo9uE1sVZi2Rs.jpg,https://www.themoviedb.org//video/play?key=XuDTPniIX-8
7,8,장화신은 고양이,Tom Wheeler,"Antonio Banderas, Salma Hayek, Zach Galifianakis","
액션,?애니메이션,?모험,?코미디,?가족
","한때는 알아주는 영웅이었지만 지금은 지명 수배자 신세인 ‘장화신은 고양이’. 명예 회복의 순간만을 꿈꾸던 그에게 악명 높은 부부 악당 ‘잭 & 질’과 ‘마법의 콩’에 대한 소문이 들려온다. 황금알의 비밀을 지닌 열쇠로, 악당의 손에 넘어가면 세상을 위험에 빠트린다는 마법의 콩. 장화신은 고양이는 잭 & 질로부터 마법의 콩을 빼앗기로 결심한다.  하지만 마법의 콩을 손에 넣으려는 순간! 갑자기 나타난 희대의 도둑 ‘말랑손 키티’ 때문에 계획은 실패로 돌아간다. 게다가 말랑손 키티가 어릴 적 단짝에서 지금은 둘도 없는 원수가 된 ‘험티 덤티’와 한통속임을 알게 된 장화신은 고양이는 깊은 고민에 빠진다. 그러나 마법의 콩을 혼자 훔치는 것은 절대 불가능하다는 사실을 깨달은 장화신은 고양이, 결국 말랑손 키티, 험티 덤티와 손을 잡고 위험천만한 모험을 시작하는데…!  짜릿한 인생역전을 꿈꾸는 ‘장화신은 고양이’와 친구들의 예측불허 모험이 시작된다!",왓챠,"
1시간 30분
    ",All 이용가,2011,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/GRbeIj59bZgDshwUETHLG6M6T7.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/GRbeIj59bZgDshwUETHLG6M6T7.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/eSdpZZQubPSZ47qppFfUPbKsWlw.jpg,https://www.themoviedb.org//video/play?key=gBVaMpFRp3w
8,9,트와일라잇,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke","
판타지,?드라마,?로맨스
","17세의 평범한 고등학생 소녀 ‘벨라’는 집안 사정으로 워싱턴 주 포크스에 있는 아빠의 집으로 이사를 온다. 전학 첫날, ‘벨라’는 냉담하지만 자신을 무장 해제시킬 정도로 잘생긴 ‘에드워드’와 마주치고, 전율과 두려움 넘치는 인생의 전환을 맞이한다. ‘에드워드’와 돌이킬 수 없는 사랑에 빠져든 ‘벨라’. 하지만 ‘에드워드’와 그의 가족이 뱀파이어 일족이라는 사실을 알게 되고, 예기치 못한 운명에 빠져든다.",왓챠,"
2시간 2분
    ",12 이용가,2008,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/2yGW99KWCPpCBbi4aPIZyWb5OzE.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/2yGW99KWCPpCBbi4aPIZyWb5OzE.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/weAYfu6FfrNxEDJ3xH1XpgQcqUv.jpg,https://www.themoviedb.org//video/play?key=e8lynTVeKYU
9,10,트루먼 쇼,Peter Weir,"Jim Carrey, Laura Linney, Noah Emmerich","
코미디,?드라마
","트루먼 버뱅크는 작고 조용한 섬마을에 사는 평범한 세일즈맨이다. 그런 그가 자신의 삶에 대해 의문을 갖기 시작한 것은 평소와 다름없이 평범한 어느 날, 갑자기 하늘에서 촬영용 조명등이 떨어지고, 어렸을 적 자신이 익사를 직접 목격했던 아버지가 살아오고, 또 누군가에 의해 끌려가는 등 상식 밖의 일들이 벌어지고 나서부터였다. 평생을 그다지 신경쓰지 않고 지냈던 일상이었지만 주변을 보니 이상한 일이 너무 많았다. 결국 자신이 특별한 상황에 놓여있다는 확신을 하게된 트루먼은 첫사랑 실비아의 모든 것이 다 거짓라는 말을 되새기며 일상으로부터 탈출을 결심하게 되는데...",왓챠,"
1시간 43분
    ",12세 이용가,1998,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/AsUv4pFf1UQuOLKf7nYUXgmgCNf.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/AsUv4pFf1UQuOLKf7nYUXgmgCNf.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/bxY7ve1LP8atCIuvr4jeeJMmU4w.jpg,https://www.themoviedb.org//video/play?key=5uu1ys5xssI
