,id,title,director,actor,genre,story,platform,age,year,thumb,photo1,photo2
0,1,로 앤 오더: 성범죄 전담반,Dick Wolf,"Mariska Hargitay, Ice-T, Dann Florek","
범죄,?드라마,?미스터리
",추악한 성범죄를 수사하는 뉴욕 경찰 성범죄전담수사반의 활약을 그린 드라마.,웨이브,15 이용가,1999,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ywBt4WKADdMVgxTR1rS2uFwMYTH.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ywBt4WKADdMVgxTR1rS2uFwMYTH.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/9xxLWtnFxkpJ2h1uthpvCRK6vta.jpg
1,2,수퍼내추럴,Eric Kripke,"Jensen Ackles, Jared Padalecki, Misha Collins","
드라마,?미스터리,?Sci-Fi & Fantasy
","어린 시절, 샘과 딘은 정체를 알 수 없는 악마의 힘의 의해 어머니를 잃는다. 그로 인해, 그들의 아버지는 자식들을 헌터로 키우며, 미국 각지에 흩어져 있는 초자연적인 악과 괴물들을 처치하는 법을 가르친다.",웨이브,TV-14 이용가,2005,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/dpkz4yiXoaYvYP2WoRP09UmrAh6.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/dpkz4yiXoaYvYP2WoRP09UmrAh6.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/nVRyd8hlg0ZLxBn9RaI7mUMQLnz.jpg
2,3,왕좌의 게임,David Benioff,"Iain Glen, Emilia Clarke, Kit Harington","
Sci-Fi & Fantasy,?드라마,?Action & Adventure
","2011년 4월 HBO에서 방영을 시작한 판타지물. 조지 R.R. 마틴의 얼음과 불의 노래를 원작으로 한다. 웨스테로스 대륙의 7개의 국가와 하위 몇 개의 국가들로 구성된 연맹 국가인 칠 왕국의 통치권, 철 왕좌를 차지하기 위한 싸움을 그려낸 드라마이다. 왕좌를 차지하기 위한 귀족 가문의 다툼 외에도 북부에 존재하는 미지의 위협인 백귀, 그리고 15년 전에 내전으로 인해 살해된 왕의 딸인 대너리스 타르가르옌이 자신이 추방당한 웨스테로스를 향해 왕권 회복을 도전하는 이야기가 함께 들어있다.",웨이브,19 이용가,2011,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lxfllsQQ32gKglUxrM61WaFeNcy.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lxfllsQQ32gKglUxrM61WaFeNcy.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/2OMB0ynKlyIenMJWI2Dy9IWT4c.jpg
3,4,슈츠,Aaron Korsh,"Gabriel Macht, Sarah Rafferty, Rick Hoffman","
드라마
","뜻밖의 행운일까, 아니면 뛰어난 재능일까. 뉴욕의 거대 로펌에 들어간 대학 중퇴 청년. 엘리트 변호사와 의기투합한 그가 시시하고 따분한 세상을 상대로 소송을 건다.",웨이브,15 이용가,2011,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lvYWwQj89ioSk9WzhC1KEujmpWa.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lvYWwQj89ioSk9WzhC1KEujmpWa.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/or0E36KfzJYZwqXeiCfm1JgepKF.jpg
4,5,블랙리스트,Jon Bokenkamp,"James Spader, Diego Klattenhoff, Harry Lennix","
드라마,?범죄,?미스터리
",FBI 10대 수배범에 올라가있는 거물 범죄 브로커 레이먼드 레딩턴이 어느날 갑자기 FBI 본부에 나타나 자수를 한다. 그러면서 레딩턴은 자신이 1급 범죄자들의 블랙리스트를 가지고 있다면서 사법거래를 요구하고 그 조건으로 FBI의 신참 프로파일러인 엘리자베스 킨하고만 이야기 하겠다고 요구한다. 한편 암에 걸린 양아버지를 두면서 남편과 함께 아기의 입양을 꿈꾸며 행복하게 살고 있던 엘리자베스의 삶은 레딩턴과의 만남과 우연히 발견하게 된 남편의 가짜 여권들을 통해 급변하게 되는데...,웨이브,15 이용가,2013,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/htJzeRcYI2ewMm4PTrg98UMXShe.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/htJzeRcYI2ewMm4PTrg98UMXShe.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/dDPwCyZG8arYwMDoQl0sm4xccCE.jpg
5,6,하우스,David Shore,"Hugh Laurie, Jesse Spencer, Omar Epps","
드라마,?미스터리
","2004년 11월 FOX에서 방영을 시작한 미스터리 의학 시리즈. 프린스턴 플레인즈보로 대학병원의 진단의학과 과장인 그레고리 하우스는 환자들을 성심성의껏 돌보는 데는 영 꽝인 의사. 사사건건 병원 원장인 리사 커디와 부딪히는 그는 못된 매너와 그 매너를 더욱 돋보이게 하는 외모로 유명하지만, 또한 창조적인 생각과 결점없는 의학적 본능을 유감없이 발휘하는 최고의 의사이기도 하다. 천재적인 분석능력을 갖춘 전염병 전문의로서 그가 이제 인명을 살리기 위한 흥미롭고 미스터리한 의학의 퍼즐을 풀어간다.",웨이브,TV-14 이용가,2004,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/5rIQ3pTjWdZjNUJSJxn1T8MIvoG.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/5rIQ3pTjWdZjNUJSJxn1T8MIvoG.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/r9t9lblyPfudl0LV0Ujg1nXdKyW.jpg
6,7,멘탈리스트,Bruno Heller,"Simon Baker, Robin Tunney, Tim Kang","
범죄,?드라마,?미스터리
","2008년 9월 CBS에서 방영을 시작한 범죄심리수사물. 예리한 관찰력과 날카로운 추리력을 가진 패트릭 제인은 사람들의 행동을 관찰해서 그 마음을 읽는 능력을 이용하여 돈벌이를 하며 살아가고 있었다. 그러다가 한 방송에서 연쇄살인범 레드존에 대한 언급을 하게 되고, 그로 인해 아내와 딸이 레드존에게 죽임을 당한다. 그 후 제인은 레드존에 대한 정보를 얻기 위해 CBI(캘리포니아 연방수사대)를 찾아가게 되고, 우연히 그들의 수사를 돕게 되면서 수사대의 자문위원이 되고 각종 범죄를 해결하며 레드존을 잡기 위한 정보도 취합해 간다.",웨이브,TV-14 이용가,2008,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rJFqKcmMSttdNP58l0dVzY2NcTA.jpg
7,8,라 브레아,David Appelbaum,"Natalie Zea, Eoin Macken, Chik? Okonkwo","
드라마,?Sci-Fi & Fantasy,?Action & Adventure
","거대한 싱크홀이 로스엔젤레스 한복판에서 생기면서 수백 명의 사람들과 건물들이 깊은 곳으로 빠져든다.  싱크홀에 빠진 사람들은 신비롭고 위험한 원시시대에 있다는것을 알게 되고 살아남기 위해 서로 뭉친다.  한편, 세계의 다른 국가들은 무슨 일이 일어났는지 이해하려고 필사적으로 노력한다.  이번 재난으로 분열된 한 가족은 서로에게 돌아가는 길을 찾기 위해 설명할 수 없는 이 사건의 비밀을 풀어야 한다.",웨이브,TV-14 이용가,2021,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6tAzoo2e9GpJt4tfiRkNHx97e36.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/6tAzoo2e9GpJt4tfiRkNHx97e36.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/qhaPuyznsxb13wSQbpqSDqtNuX8.jpg
8,9,시카고 PD,Dick Wolf,"Jason Beghe, Marina Squerciati, Patrick John Flueger","
범죄,?드라마
","시카고 경찰들의 이야기. 일선에서 직접 범죄자들과 싸우는 제복 경찰들과, 조직범죄나 마약밀매 등의 범죄를 조사하는 정보팀 소속 대원들의 활약을 그린다.",웨이브,15 이용가,2014,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/7gtp4lusk685hdmuEXMbYrmSQoY.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/7gtp4lusk685hdmuEXMbYrmSQoY.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/qSrSg6dZeZy6uJ6SfSKbEAwk3Wo.jpg
9,10,유포리아,Sam Levinson,"Zendaya, Hunter Schafer, Jacob Elordi","
드라마,?범죄
","약물과 성, 트라우마, 범죄 그리고 소셜 미디어가 가득한 세상 속에서 사랑과 우정 사이에서 갈등하는 10대 청소년들의 이야기.",웨이브,19 이용가,2019,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lRsDSuj98WQfXBCV44xMoG0G29M.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lRsDSuj98WQfXBCV44xMoG0G29M.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/oKt4J3TFjWirVwBqoHyIvv5IImd.jpg
10,11,하우스 오브 드래곤,George R. R. Martin,"Emma D'Arcy, Olivia Cooke, Paddy Considine","
Sci-Fi & Fantasy,?드라마,?Action & Adventure
","대륙을 지배하는 타르가르옌 가문의 왕 비세리스 1세의 어린 딸 라에니라와, 왕의 난폭한 동생 다에몬이 왕위 계승을 노리면서 음모와 배신, 피와 죽음으로 얼룩지는 길고 긴 싸움이 시작된다. 아무도 넘볼 수 없는 절대 권력, 왕위 계승을 둘러싼 가문의 내전이 벌어진다.",웨이브,15 이용가,2022,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lUCsnWP5RHgA0lV0lfme6grpxIR.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lUCsnWP5RHgA0lV0lfme6grpxIR.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/vXpeJJs1z8OKC88CNJX9O9QOhtr.jpg
11,12,더 루키,Alexi Hawley,"Nathan Fillion, Melissa O'Neil, Eric Winter","
범죄,?드라마
",이혼 후 은행 강도를 당한 일을 계기로 LAPD에 지원한 40세의 최고령 신입을 중심으로 펼쳐지는 이야기,웨이브,TV-14 이용가,2018,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/uyuCMmAxNL3z3fyW4xzefT886Yu.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/uyuCMmAxNL3z3fyW4xzefT886Yu.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/ryLgyKfU66ZyJhItFT1WnMRjCbN.jpg
